episode,reward,r_acc,r_action
1,-2611.893555,-2542.777756,-69.115660
2,-2704.968262,-2672.777771,-32.190553
3,-3014.121826,-2959.111084,-55.010816
4,-2313.079590,-2259.777802,-53.301829
5,-2548.058594,-2504.777740,-43.280994
6,-2648.850830,-2603.111069,-45.739926
7,-2281.125488,-2235.777771,-45.347782
8,-2428.856201,-2379.333298,-49.522971
9,-2179.034180,-2119.666687,-59.367556
10,-2152.232910,-2096.444458,-55.788480
11,-2815.683105,-2763.555557,-52.127480
12,-2671.184570,-2616.222229,-54.962378
13,-2732.931396,-2692.999985,-39.931269
14,-2095.994385,-2033.111115,-62.883317
15,-2653.623291,-2610.000000,-43.623352
16,-2526.121826,-2470.666656,-55.455320
17,-2154.073730,-2097.555588,-56.517938
18,-2379.429688,-2332.555557,-46.874030
19,-2227.565430,-2179.444443,-48.120922
20,-2531.526855,-2466.222214,-65.304642
21,-2907.195557,-2859.000015,-48.195664
22,-3169.878906,-3120.222244,-49.656523
23,-2784.384766,-2745.666641,-38.717985
24,-2659.828613,-2597.777733,-62.051115
25,-3045.942139,-2989.777786,-56.164608
26,-2728.713379,-2671.777725,-56.935629
27,-3101.777344,-3040.888870,-60.888476
28,-2740.461670,-2685.777786,-54.683742
29,-2830.847656,-2785.666641,-45.181059
30,-2916.711182,-2854.555573,-62.155363
31,-2615.862793,-2564.555496,-51.307353
32,-2896.655518,-2859.222198,-37.433354
33,-2629.569580,-2585.111206,-44.458390
34,-3412.297607,-3361.777771,-50.519797
35,-2245.848633,-2201.222198,-44.626270
36,-2872.712402,-2827.666687,-45.045659
37,-2631.930420,-2581.666656,-50.263797
38,-3028.309082,-2978.111130,-50.198072
39,-2872.670654,-2810.111115,-62.559475
40,-3062.082275,-3014.666656,-47.415597
41,-3165.739014,-3094.666687,-71.072501
42,-2875.076904,-2822.222198,-52.854636
43,-3016.598633,-2954.222244,-62.376505
44,-2636.912109,-2599.000015,-37.912106
45,-2887.495117,-2820.777832,-66.717549
46,-3003.880371,-2948.000031,-55.880409
47,-2676.084473,-2624.777771,-51.306889
48,-2840.209473,-2795.777802,-44.431712
49,-3054.608154,-3009.666718,-44.941413
50,-3119.249512,-3066.333282,-52.916221
51,-2346.184082,-2292.222198,-53.961865
52,-2230.252197,-2181.999954,-48.252228
53,-2701.417236,-2651.222237,-50.194866
54,-2040.159424,-2002.555557,-37.603933
55,-2369.049561,-2329.444450,-39.605024
56,-2513.840332,-2458.111137,-55.729088
57,-3152.186768,-3113.222214,-38.964576
58,-2496.569092,-2439.222198,-57.346863
59,-2829.932861,-2787.111115,-42.821791
60,-2306.175293,-2261.666656,-44.508460
61,-1939.396240,-1907.888916,-31.507233
62,-2174.376953,-2101.777763,-72.599135
63,-2269.485352,-2225.888901,-43.596281
64,-2064.615723,-2012.888885,-51.726878
65,-1791.986572,-1743.333328,-48.653190
66,-2035.331177,-1981.666641,-53.664658
67,-2384.502441,-2340.888885,-43.613405
68,-2275.304688,-2217.111130,-58.193704
69,-2184.940674,-2124.888855,-60.051819
70,-1906.807983,-1859.888878,-46.919135
71,-2427.120361,-2381.888885,-45.231428
72,-2250.136475,-2208.555527,-41.580920
73,-2281.120850,-2227.888885,-53.231961
74,-2544.527100,-2499.888885,-44.637973
75,-2147.708740,-2087.888931,-59.819757
76,-2585.308105,-2530.333313,-54.974936
77,-3062.030762,-3021.777802,-40.253195
78,-2613.529541,-2559.777847,-53.751737
79,-2422.471436,-2375.555603,-46.915665
80,-2641.433350,-2599.222183,-42.211057
81,-2059.782227,-2018.555573,-41.226685
82,-2011.260742,-1958.666687,-52.594079
83,-2273.849854,-2239.111130,-34.738753
84,-2478.915527,-2423.111115,-55.804255
85,-2498.519287,-2453.888901,-44.630502
86,-1901.386719,-1861.111122,-40.275610
87,-1919.504639,-1865.444458,-54.060144
88,-2542.130127,-2482.444427,-59.685645
89,-1855.156860,-1799.111115,-56.045824
90,-1603.185181,-1550.888901,-52.296276
91,-2589.312012,-2552.111130,-37.200872
92,-2251.591064,-2193.666664,-57.924439
93,-2174.915039,-2117.444427,-57.470560
94,-2191.107666,-2134.444443,-56.663339
95,-2211.536377,-2160.666687,-50.869868
96,-2304.541504,-2240.999985,-63.541524
97,-1895.316528,-1855.222221,-40.094328
98,-2337.963867,-2291.222214,-46.741726
99,-2607.393066,-2554.111115,-53.281984
100,-2693.645264,-2646.666672,-46.978318
101,-2470.909912,-2427.111084,-43.798779
102,-1971.528320,-1900.111115,-71.417341
103,-2264.179443,-2217.999969,-46.179654
104,-2365.725586,-2310.111130,-55.614304
105,-1980.094727,-1925.555588,-54.539034
106,-2322.270508,-2261.111115,-61.159446
107,-2122.816406,-2063.666634,-59.149678
108,-2852.310059,-2800.222275,-52.087806
109,-1852.363647,-1807.888870,-44.474761
110,-1814.672363,-1765.333328,-49.339072
111,-1776.412720,-1716.444443,-59.968295
112,-1739.760132,-1701.777771,-37.982356
113,-2168.014404,-2108.333344,-59.680944
114,-1830.355347,-1765.333344,-65.022100
115,-2263.225342,-2208.111076,-55.114277
116,-1825.737793,-1778.444473,-47.293297
117,-1576.166748,-1525.777794,-50.388980
118,-2028.083496,-1967.222229,-60.861243
119,-1728.520264,-1682.666656,-45.853609
120,-1742.901978,-1696.333313,-46.568787
121,-2269.143799,-2203.444458,-65.699297
122,-1828.310425,-1772.999958,-55.310418
123,-1986.811157,-1947.111111,-39.700046
124,-2294.792969,-2236.555542,-58.237357
125,-2160.764893,-2097.222214,-63.542595
126,-2097.001465,-2039.444427,-57.556968
127,-1838.905884,-1775.999985,-62.905820
128,-2103.005371,-2060.444435,-42.560864
129,-2265.144775,-2203.222244,-61.922491
130,-1800.827637,-1744.999985,-55.827719
131,-2100.879150,-2041.777771,-59.101501
132,-2183.386230,-2114.555550,-68.830873
133,-1674.186157,-1625.999985,-48.186231
134,-2320.546631,-2266.222229,-54.324648
135,-2177.527344,-2134.999969,-42.527253
136,-2158.548096,-2095.777802,-62.770297
137,-2178.667480,-2128.111103,-50.556375
138,-1843.429443,-1782.333344,-61.096111
139,-2202.164551,-2156.777756,-45.386762
140,-1597.483887,-1547.666687,-49.817220
141,-2266.513916,-2220.333305,-46.180740
142,-2284.595947,-2226.999985,-57.595870
143,-2211.317383,-2156.444435,-54.872926
144,-2374.218262,-2323.555557,-50.662746
145,-1842.693604,-1769.666672,-73.026881
146,-2016.645752,-1940.111069,-76.534570
147,-2066.799072,-2019.666679,-47.132456
148,-2020.912720,-1951.111069,-69.801666
149,-1861.549194,-1788.111099,-73.438133
150,-2049.203857,-1980.555550,-68.648276
151,-1833.105347,-1786.555573,-46.549823
152,-2068.667969,-1999.888931,-68.778958
153,-1531.230103,-1469.555542,-61.674510
154,-1970.401611,-1922.444450,-47.957138
155,-2047.274414,-1988.333336,-58.941096
156,-1805.658081,-1751.999985,-53.658031
157,-1885.230103,-1841.555519,-43.674556
158,-1863.491455,-1800.777786,-62.713592
159,-1783.946777,-1733.444443,-50.502325
160,-1985.529419,-1935.333351,-50.195952
161,-1771.796265,-1719.444450,-52.351772
162,-1570.711182,-1511.777756,-58.933492
163,-2477.645996,-2423.999939,-53.646079
164,-2001.892822,-1934.666664,-67.226168
165,-2001.658569,-1928.999969,-72.658545
166,-1318.378662,-1265.444443,-52.934234
167,-2955.548828,-2905.666718,-49.882081
168,-1519.124878,-1459.444450,-59.680488
169,-1581.247803,-1503.333359,-77.914424
170,-2060.862549,-1990.888901,-69.973667
171,-1604.891968,-1559.111099,-45.780884
172,-1881.000732,-1809.333313,-71.667353
173,-1781.183594,-1731.777786,-49.405851
174,-1593.363892,-1545.555542,-47.808403
175,-1665.193359,-1612.555565,-52.637834
176,-1454.534424,-1407.111099,-47.423260
177,-1662.055542,-1617.777763,-44.277792
178,-1726.788208,-1665.666664,-61.121550
179,-1561.881226,-1511.333332,-50.547876
180,-1886.953003,-1831.888908,-55.064149
181,-1549.663452,-1494.222202,-55.441301
182,-1562.516357,-1520.000000,-42.516428
183,-1978.659424,-1913.888870,-64.770558
184,-1766.120117,-1707.555573,-58.564431
185,-1672.953735,-1611.777786,-61.175973
186,-1397.260376,-1334.666656,-62.593772
187,-1694.965698,-1635.777771,-59.187881
188,-1808.561035,-1756.222214,-52.338769
189,-1550.723877,-1486.222214,-64.501579
190,-2411.879150,-2345.111099,-66.767909
191,-1639.380249,-1556.888885,-82.491387
192,-1666.233887,-1599.888885,-66.344945
193,-1714.953369,-1661.555588,-53.397865
194,-1489.480225,-1415.666664,-73.813664
195,-1672.022095,-1606.111107,-65.911030
196,-1605.555176,-1567.111088,-38.444067
197,-1703.698730,-1647.000031,-56.698741
198,-1756.666748,-1692.222202,-64.444476
199,-1600.937012,-1540.444397,-60.492568
200,-1646.681152,-1578.222221,-68.458785
201,-1591.279419,-1536.555527,-54.723836
202,-1693.061768,-1643.444412,-49.617401
203,-1555.675659,-1503.666672,-52.009066
204,-1506.123169,-1444.999969,-61.123132
205,-1678.694336,-1628.111145,-50.583123
206,-1350.726562,-1294.111122,-56.615401
207,-1667.404541,-1609.333344,-58.071246
208,-1733.802612,-1666.555542,-67.247105
209,-2430.622314,-2372.222198,-58.400114
210,-1792.342773,-1739.777771,-52.565015
211,-1948.553345,-1899.888870,-48.664466
212,-1850.315674,-1780.333359,-69.982300
213,-1939.511719,-1890.777786,-48.733910
214,-1765.083862,-1708.555557,-56.528287
215,-1696.011353,-1648.666656,-47.344696
216,-2001.098145,-1939.555573,-61.542430
217,-1330.513062,-1277.444458,-53.068625
218,-1927.792603,-1854.888924,-72.903771
219,-1573.365479,-1522.555534,-50.809996
220,-1938.269165,-1870.777794,-67.491310
221,-1278.778687,-1215.555557,-63.223164
222,-1454.453613,-1388.444458,-66.009167
223,-1501.744507,-1451.666664,-50.077946
224,-2066.091797,-2016.555550,-49.536207
225,-1554.460938,-1485.222260,-69.238762
226,-1327.216064,-1243.777794,-83.438310
227,-1583.008423,-1525.777779,-57.230691
228,-1857.003418,-1781.222206,-75.781207
229,-1340.421143,-1276.555595,-63.865500
230,-1608.643433,-1552.444435,-56.198921
231,-1563.746948,-1519.333313,-44.413573
232,-1277.402100,-1223.444435,-53.957688
233,-2002.553833,-1941.222214,-61.331693
234,-1345.892090,-1289.111115,-56.780870
235,-1628.213867,-1583.111107,-45.102697
236,-1758.186890,-1690.333344,-67.853547
237,-1781.975952,-1730.888901,-51.086982
238,-1638.781616,-1568.333313,-70.448365
239,-1292.042725,-1218.222221,-73.820525
240,-1498.433105,-1447.333321,-51.099867
241,-1344.418213,-1280.555588,-63.862522
242,-1096.405029,-1026.555557,-69.849474
243,-1484.500732,-1400.888885,-83.611846
244,-1261.577881,-1193.777771,-67.800065
245,-1374.257080,-1325.888893,-48.368132
246,-1678.726196,-1608.555561,-70.170714
247,-1844.328125,-1782.666672,-61.661546
248,-1096.609131,-1028.111099,-68.498085
249,-1359.758911,-1293.333336,-66.425507
250,-1092.587036,-1041.333328,-51.253731
251,-1601.466553,-1538.555534,-62.911055
252,-998.560303,-957.222229,-41.338103
253,-1183.733032,-1132.222214,-51.510780
254,-1644.222290,-1580.111115,-64.111140
255,-1171.937134,-1118.111099,-53.826024
256,-1579.983643,-1524.444439,-55.539258
257,-1165.911011,-1116.888885,-49.022130
258,-1442.501099,-1377.111115,-65.390111
259,-1328.765259,-1277.444443,-51.320842
260,-1151.038574,-1083.666664,-67.371937
261,-1823.861816,-1757.666649,-66.195110
262,-1215.570801,-1163.444458,-52.126327
263,-1174.060303,-1118.000015,-56.060239
264,-1177.716553,-1118.777763,-58.938715
265,-1019.731018,-951.444441,-68.286614
266,-1396.188232,-1338.777794,-57.410374
267,-1165.160156,-1109.777756,-55.382430
268,-1262.549438,-1196.111088,-66.438443
269,-1324.113525,-1270.222233,-53.891252
270,-1160.950317,-1102.555542,-58.394807
271,-1399.572998,-1346.222229,-53.350718
272,-1024.734985,-963.111115,-61.623896
273,-1252.021484,-1193.222244,-58.799205
274,-1277.689941,-1217.333313,-60.356630
275,-1395.643188,-1331.777763,-63.865432
276,-1185.176025,-1121.777790,-63.398300
277,-1247.151367,-1188.444450,-58.706938
278,-1220.877563,-1159.888903,-60.988660
279,-1259.376343,-1206.111126,-53.265248
280,-1352.324829,-1279.666676,-72.658145
281,-1185.404785,-1116.111130,-69.293571
282,-1360.876099,-1304.999992,-55.876139
283,-979.153748,-922.111115,-57.042620
284,-1082.806885,-1014.333336,-68.473560
285,-833.233215,-760.333340,-72.899933
286,-1456.397339,-1393.444466,-62.952921
287,-987.181213,-932.888885,-54.292320
288,-1357.832397,-1305.111107,-52.721340
289,-798.584778,-743.666656,-54.918086
290,-1064.327148,-1001.666664,-62.660561
291,-1076.585327,-1017.333321,-59.252012
292,-1040.672852,-987.444458,-53.228437
293,-1031.239014,-975.666679,-55.572371
294,-1275.479858,-1223.444447,-52.035482
295,-1224.872437,-1145.444439,-79.427963
296,-860.046387,-791.777771,-68.268665
297,-1281.183105,-1232.222214,-48.960850
298,-1179.281616,-1118.222237,-61.059406
299,-1165.436157,-1097.888891,-67.547254
300,-1290.738892,-1215.888893,-74.849927
301,-1501.848755,-1423.444466,-78.404255
302,-1037.604492,-985.444439,-52.160001
303,-956.437988,-888.888905,-67.549076
304,-1007.449341,-937.555553,-69.893774
305,-1250.251099,-1199.777798,-50.473371
306,-1104.280029,-1053.555565,-50.724436
307,-846.449402,-797.666656,-48.782719
308,-1033.819702,-953.333345,-80.486415
309,-687.396240,-622.555567,-64.840688
310,-827.749573,-770.555557,-57.193981
311,-790.726562,-726.111109,-64.615468
312,-760.784485,-679.555559,-81.228938
313,-888.055908,-834.111107,-53.944786
314,-976.172363,-924.333336,-51.839035
315,-829.524170,-768.777786,-60.746415
316,-1230.011841,-1177.444418,-52.567322
317,-1694.996948,-1638.000000,-56.997001
318,-1042.381226,-983.666660,-58.714581
319,-1086.668823,-1008.000011,-78.668807
320,-680.476868,-612.555557,-67.921341
321,-961.431824,-902.888899,-58.542938
322,-1045.217529,-975.666664,-69.550859
323,-951.718811,-882.999996,-68.718860
324,-894.584839,-821.777777,-72.807092
325,-1408.087158,-1351.777756,-56.309372
326,-1066.389893,-1015.888870,-50.501025
327,-1091.789551,-1003.777779,-88.011674
328,-982.320557,-914.666672,-67.653854
329,-1360.260498,-1301.111105,-59.149418
330,-1428.593384,-1351.444443,-77.148897
331,-1352.519409,-1296.333332,-56.186046
332,-1505.620972,-1437.333351,-68.287551
333,-1142.141602,-1084.111126,-58.030478
334,-1236.868408,-1193.000015,-43.868435
335,-1120.341797,-1047.888901,-72.452882
336,-1067.905396,-1003.333317,-64.572130
337,-1149.954956,-1089.555544,-60.399368
338,-992.842102,-906.222214,-86.619911
339,-989.954224,-927.222218,-62.731990
340,-1001.520508,-949.777784,-51.742690
341,-1136.211548,-1086.111097,-50.100436
342,-1346.937378,-1281.888890,-65.048401
343,-790.831116,-732.333328,-58.497747
344,-830.611023,-760.777779,-69.833212
345,-1187.155029,-1138.555540,-48.599460
346,-1108.929199,-1052.666664,-56.262544
347,-1162.659058,-1101.111126,-61.547897
348,-944.740356,-873.222229,-71.518095
349,-1022.566956,-963.111141,-59.455795
350,-1023.226013,-946.000000,-77.225994
351,-1085.867554,-1020.555573,-65.312019
352,-952.981812,-901.222221,-51.759585
353,-1292.619263,-1227.222210,-65.397046
354,-1216.923706,-1163.000008,-53.923609
355,-1281.563599,-1218.111090,-63.452528
356,-1274.105103,-1217.666656,-56.438395
357,-1019.707458,-957.777767,-61.929678
358,-1390.338013,-1350.888901,-39.449065
359,-1464.822876,-1402.333351,-62.489510
360,-828.173523,-769.777786,-58.395760
361,-973.597107,-901.666666,-71.930451
362,-973.284302,-913.222229,-60.062071
363,-834.094788,-769.222232,-64.872586
364,-580.982239,-514.444440,-66.537764
365,-1211.653564,-1139.111115,-72.542455
366,-627.629761,-567.555553,-60.074188
367,-759.017944,-696.333345,-62.684594
368,-797.954041,-737.222212,-60.731856
369,-862.528870,-792.333347,-70.195540
370,-956.528137,-854.999975,-101.528139
371,-727.258606,-651.777771,-75.480822
372,-768.380493,-691.111120,-77.269338
373,-752.567566,-684.111107,-68.456506
374,-784.697693,-715.666662,-69.031050
375,-978.314270,-914.999992,-63.314334
376,-721.157471,-654.666664,-66.490782
