episode,reward,r_acc,r_action
1,-2728.000000,-2728.000000,-80.598210
2,-2789.000000,-2789.000061,-99.354539
3,-2855.888916,-2855.888870,-92.457695
4,-2079.666748,-2079.666656,-101.513138
5,-2599.333496,-2599.333344,-111.414916
6,-3608.222412,-3608.222229,-158.454777
7,-2449.222168,-2449.222183,-92.835075
8,-2586.000000,-2585.999985,-116.482301
9,-3251.222168,-3251.222198,-102.462273
10,-3392.889160,-3392.888916,-96.602407
11,-2229.555664,-2229.555557,-72.927468
12,-2302.555420,-2302.555542,-87.330879
13,-2066.666748,-2066.666710,-118.737829
14,-2902.888916,-2902.888931,-112.013877
15,-2232.444336,-2232.444427,-99.047573
16,-1906.666626,-1906.666611,-102.448344
17,-2585.333496,-2585.333374,-120.964894
18,-2451.111084,-2451.111084,-109.181546
19,-1963.000000,-1963.000000,-94.661293
20,-2404.777832,-2404.777771,-102.677836
21,-2201.444336,-2201.444443,-104.279785
22,-2320.222168,-2320.222214,-104.513906
23,-2134.111084,-2134.111092,-118.209369
24,-2110.111328,-2110.111122,-78.005113
25,-2051.888916,-2051.888885,-106.020990
26,-2597.666748,-2597.666672,-75.647326
27,-1769.444458,-1769.444443,-83.149614
28,-2043.555664,-2043.555603,-92.782014
29,-2249.888916,-2249.888870,-91.709203
30,-2247.222168,-2247.222198,-127.160019
31,-2133.444580,-2133.444397,-130.384471
32,-2160.111084,-2160.111160,-147.528489
33,-2309.555420,-2309.555542,-77.260496
34,-2821.777832,-2821.777802,-105.939481
35,-2363.000000,-2363.000031,-73.643470
36,-1946.555664,-1946.555557,-91.748511
37,-2245.666748,-2245.666687,-88.335358
38,-1585.666626,-1585.666641,-106.167414
39,-1837.777832,-1837.777794,-87.537331
40,-2275.777832,-2275.777802,-94.903628
41,-2015.666748,-2015.666695,-93.731943
42,-2486.222168,-2486.222244,-87.469926
43,-2342.444336,-2342.444473,-109.120316
44,-2109.000000,-2109.000027,-95.620791
45,-2116.111084,-2116.111145,-99.650271
46,-2141.000000,-2141.000046,-108.996143
47,-2206.888916,-2206.888916,-107.270471
48,-1824.777832,-1824.777771,-103.175332
49,-2020.333252,-2020.333298,-83.817645
50,-2016.111084,-2016.111145,-77.120381
51,-1755.444458,-1755.444450,-95.250476
52,-1867.000122,-1866.999969,-83.030601
53,-2263.333496,-2263.333344,-125.623036
54,-2363.000244,-2362.999985,-67.911513
55,-2277.777832,-2277.777740,-85.510573
56,-2681.666504,-2681.666672,-95.992376
57,-2763.333252,-2763.333344,-58.857703
58,-1829.444458,-1829.444458,-127.784668
59,-2002.111206,-2002.111115,-77.870434
60,-2371.111084,-2371.111115,-99.505186
61,-2914.111084,-2914.111115,-42.180583
62,-1907.999878,-1908.000000,-105.070406
63,-2441.111328,-2441.111145,-92.685303
64,-2594.777832,-2594.777786,-111.255596
65,-2381.000000,-2380.999947,-98.735615
66,-2289.888916,-2289.888870,-129.974897
67,-2427.888916,-2427.888885,-109.607909
68,-2095.666504,-2095.666626,-64.997160
69,-2237.333496,-2237.333344,-93.886406
70,-2008.888916,-2008.888901,-91.874837
71,-1712.444580,-1712.444420,-72.047584
72,-2394.222168,-2394.222229,-103.315617
73,-2076.555664,-2076.555557,-110.307491
74,-1961.111084,-1961.111099,-97.990963
75,-2018.555664,-2018.555542,-38.610844
76,-1793.666748,-1793.666687,-87.276590
77,-2093.111084,-2093.111099,-91.276027
78,-2400.222168,-2400.222229,-88.895062
79,-2435.444580,-2435.444473,-91.433152
80,-2368.333252,-2368.333313,-86.570332
81,-2522.777832,-2522.777802,-87.318623
82,-2118.222168,-2118.222214,-102.891453
83,-2186.555664,-2186.555542,-77.871112
84,-2159.222412,-2159.222229,-152.698791
85,-2237.777832,-2237.777817,-90.036834
86,-2125.111084,-2125.111107,-105.207025
87,-1977.444580,-1977.444473,-81.451073
88,-2905.555664,-2905.555573,-108.886867
89,-2188.555664,-2188.555542,-121.824579
90,-2244.333252,-2244.333328,-152.476106
91,-1858.333252,-1858.333344,-95.420223
92,-2190.444336,-2190.444427,-117.796798
93,-2173.777832,-2173.777786,-99.583919
94,-2066.333496,-2066.333313,-68.788037
95,-2152.666748,-2152.666687,-115.534517
