episode,reward,r_acc
1,-32815.738281,-32815.736842
2,-34871.210938,-34871.210526
3,-32722.525391,-32722.526316
4,-35208.472656,-35208.473684
5,-33471.210938,-33471.210526
6,-32102.158203,-32102.157895
7,-34925.578125,-34925.578947
8,-33647.949219,-33647.947368
9,-33117.472656,-33117.473684
10,-32388.947266,-32388.947368
11,-32710.421875,-32710.421053
12,-33752.632812,-33752.631579
13,-34967.050781,-34967.052632
14,-33436.472656,-33436.473684
15,-33935.898438,-33935.894737
16,-30721.736328,-30721.736842
17,-33937.894531,-33937.894737
18,-34150.628906,-34150.631579
19,-33365.105469,-33365.105263
20,-33394.683594,-33394.684211
21,-33947.050781,-33947.052632
22,-35488.683594,-35488.684211
23,-33496.265625,-33496.263158
24,-34239.421875,-34239.421053
25,-34134.316406,-34134.315789
26,-33720.632812,-33720.631579
27,-34086.000000,-34086.000000
28,-32163.472656,-32163.473684
29,-34396.476562,-34396.473684
30,-34483.945312,-34483.947368
31,-32900.472656,-32900.473684
32,-34426.050781,-34426.052632
33,-32810.367188,-32810.368421
34,-32928.894531,-32928.894737
35,-33256.472656,-33256.473684
36,-33881.261719,-33881.263158
37,-34286.054688,-34286.052632
38,-34520.367188,-34520.368421
39,-32910.421875,-32910.421053
40,-35341.578125,-35341.578947
41,-35466.054688,-35466.052632
42,-32420.052734,-32420.052632
43,-33705.421875,-33705.421053
44,-33288.894531,-33288.894737
45,-34307.738281,-34307.736842
46,-32182.265625,-32182.263158
47,-31012.369141,-31012.368421
48,-35542.527344,-35542.526316
49,-32869.261719,-32869.263158
50,-32842.949219,-32842.947368
51,-33425.261719,-33425.263158
52,-31928.474609,-31928.473684
53,-34684.894531,-34684.894737
54,-32767.947266,-32767.947368
55,-31959.052734,-31959.052632
56,-33573.210938,-33573.210526
57,-34611.789062,-34611.789474
58,-34506.472656,-34506.473684
59,-33732.683594,-33732.684211
60,-34261.527344,-34261.526316
61,-33888.210938,-33888.210526
62,-32834.789062,-32834.789474
63,-33313.265625,-33313.263158
64,-32273.371094,-32273.368421
65,-34766.105469,-34766.105263
66,-33819.632812,-33819.631579
67,-33198.472656,-33198.473684
68,-32786.367188,-32786.368421
69,-32957.839844,-32957.842105
70,-32348.683594,-32348.684211
71,-33960.261719,-33960.263158
72,-34449.632812,-34449.631579
73,-34889.949219,-34889.947368
74,-31638.580078,-31638.578947
75,-34837.578125,-34837.578947
76,-33979.472656,-33979.473684
77,-34320.421875,-34320.421053
78,-33386.367188,-33386.368421
79,-33538.105469,-33538.105263
80,-33591.160156,-33591.157895
81,-31286.580078,-31286.578947
82,-31860.791016,-31860.789474
83,-35088.316406,-35088.315789
84,-31770.525391,-31770.526316
85,-34281.156250,-34281.157895
86,-32049.998047,-32050.000000
87,-32274.525391,-32274.526316
88,-33458.210938,-33458.210526
89,-32217.789062,-32217.789474
90,-33164.316406,-33164.315789
91,-30684.208984,-30684.210526
92,-33345.421875,-33345.421053
93,-31466.683594,-31466.684211
94,-32070.630859,-32070.631579
95,-34476.734375,-34476.736842
96,-33642.265625,-33642.263158
97,-34568.738281,-34568.736842
98,-35671.945312,-35671.947368
99,-32122.527344,-32122.526316
100,-32504.158203,-32504.157895
101,-32462.683594,-32462.684211
102,-32624.894531,-32624.894737
103,-32531.841797,-32531.842105
104,-34533.265625,-34533.263158
105,-31355.052734,-31355.052632
106,-32481.314453,-32481.315789
107,-33494.105469,-33494.105263
108,-33949.738281,-33949.736842
109,-33641.316406,-33641.315789
110,-31640.263672,-31640.263158
111,-33650.105469,-33650.105263
112,-34495.160156,-34495.157895
113,-32139.894531,-32139.894737
114,-32000.947266,-32000.947368
115,-33570.000000,-33570.000000
116,-33475.683594,-33475.684211
117,-33379.367188,-33379.368421
118,-34492.949219,-34492.947368
119,-34593.417969,-34593.421053
120,-32595.314453,-32595.315789
121,-33873.632812,-33873.631579
122,-33113.261719,-33113.263158
123,-35021.472656,-35021.473684
124,-32151.367188,-32151.368421
125,-32718.738281,-32718.736842
126,-34191.843750,-34191.842105
127,-32928.894531,-32928.894737
128,-32889.054688,-32889.052632
129,-31778.896484,-31778.894737
130,-34357.316406,-34357.315789
131,-33534.843750,-33534.842105
132,-32691.947266,-32691.947368
133,-33100.472656,-33100.473684
134,-33377.261719,-33377.263158
135,-34182.316406,-34182.315789
136,-33645.738281,-33645.736842
137,-34348.523438,-34348.526316
138,-33302.371094,-33302.368421
139,-32279.105469,-32279.105263
140,-34276.000000,-34276.000000
141,-33366.105469,-33366.105263
142,-33015.105469,-33015.105263
143,-33982.632812,-33982.631579
144,-32085.630859,-32085.631579
145,-33258.105469,-33258.105263
146,-34939.316406,-34939.315789
147,-32410.630859,-32410.631579
148,-33231.949219,-33231.947368
149,-34145.367188,-34145.368421
150,-32150.050781,-32150.052632
151,-32932.210938,-32932.210526
152,-33259.265625,-33259.263158
153,-33867.683594,-33867.684211
154,-33475.789062,-33475.789474
155,-33347.000000,-33347.000000
156,-32933.417969,-32933.421053
157,-34670.367188,-34670.368421
158,-33179.105469,-33179.105263
