episode,reward,r_acc,r_action
1,-2497.666748,-2497.666649,-93.005743
2,-2543.000000,-2543.000000,-100.344212
3,-2975.000000,-2975.000015,-109.110701
4,-2372.333252,-2372.333328,-87.089914
5,-3278.555664,-3278.555603,-67.701895
6,-2124.000000,-2123.999962,-98.365058
7,-2404.000000,-2404.000031,-138.443557
8,-2657.888916,-2657.888977,-135.684683
9,-2566.555664,-2566.555542,-90.048399
10,-2659.888672,-2659.888885,-124.215351
11,-2223.111084,-2223.111084,-92.444296
12,-2444.000000,-2443.999969,-107.799644
13,-2451.222168,-2451.222214,-92.787451
14,-3020.333252,-3020.333344,-98.491261
15,-2580.000000,-2579.999969,-129.390016
16,-2300.888916,-2300.888916,-75.767252
17,-2326.444580,-2326.444458,-96.456668
18,-3014.555664,-3014.555573,-88.014288
19,-2559.222168,-2559.222214,-104.871278
20,-2883.444336,-2883.444458,-86.634084
21,-2414.888916,-2414.888840,-110.468178
22,-2617.111328,-2617.111145,-87.012253
23,-2823.333252,-2823.333344,-93.031553
24,-2474.666748,-2474.666626,-71.828318
25,-2678.555664,-2678.555511,-99.205324
26,-3106.666748,-3106.666718,-107.129729
27,-3018.666748,-3018.666672,-111.596384
28,-2937.666504,-2937.666656,-135.721106
29,-2368.777588,-2368.777756,-93.822767
30,-2945.444580,-2945.444519,-105.110458
31,-3306.666504,-3306.666687,-110.025025
32,-2592.222168,-2592.222229,-102.123946
33,-3041.777832,-3041.777832,-103.668132
34,-2630.555664,-2630.555542,-101.351929
35,-2774.777832,-2774.777802,-137.867451
36,-3210.888916,-3210.888870,-95.350505
37,-2662.888916,-2662.888885,-94.332118
38,-2536.777588,-2536.777740,-92.142138
39,-2285.888672,-2285.888855,-86.306044
40,-2997.777832,-2997.777802,-118.241007
41,-2867.999756,-2868.000000,-145.595859
42,-2838.000000,-2838.000046,-102.284612
43,-3078.111084,-3078.111115,-82.204160
44,-3341.000000,-3340.999985,-99.408122
45,-2844.888916,-2844.888916,-90.884420
46,-2306.666748,-2306.666656,-100.204488
47,-3211.110840,-3211.111084,-92.738713
48,-2434.666748,-2434.666656,-102.033997
49,-2229.888916,-2229.888885,-112.489505
50,-3339.444336,-3339.444427,-93.784994
51,-3125.555664,-3125.555557,-70.409389
52,-3016.666748,-3016.666687,-111.474916
53,-2882.444336,-2882.444427,-111.514905
54,-2347.555664,-2347.555527,-82.255906
55,-2835.888916,-2835.888870,-107.904251
56,-2450.222412,-2450.222244,-93.242322
57,-3140.555664,-3140.555588,-91.438462
58,-3000.111328,-3000.111084,-98.779718
59,-2844.777832,-2844.777740,-94.773587
60,-2858.666504,-2858.666702,-90.738769
61,-2299.999756,-2299.999969,-103.027426
62,-2144.888916,-2144.888885,-122.584282
63,-3005.333496,-3005.333282,-77.395561
64,-2610.333252,-2610.333359,-93.413622
65,-2439.777832,-2439.777786,-96.153665
66,-2351.777588,-2351.777802,-107.636089
67,-2488.888672,-2488.888931,-93.937743
68,-2786.666504,-2786.666626,-101.616842
69,-1853.555542,-1853.555557,-103.727691
70,-2387.777588,-2387.777763,-102.472631
71,-2826.777588,-2826.777756,-103.973220
72,-2413.333252,-2413.333336,-79.939476
73,-2957.555664,-2957.555603,-84.421968
74,-2292.888916,-2292.888893,-73.480337
75,-2238.111328,-2238.111115,-82.754789
76,-3027.555664,-3027.555542,-114.294093
77,-3008.555420,-3008.555603,-109.811709
78,-3400.666504,-3400.666626,-117.573196
79,-2773.333496,-2773.333313,-126.038414
80,-2668.333496,-2668.333359,-102.059865
81,-2183.555664,-2183.555542,-80.283052
82,-3012.444336,-3012.444382,-118.121665
83,-1963.222168,-1963.222183,-96.066502
84,-2557.666748,-2557.666649,-112.306589
85,-2346.110840,-2346.111115,-95.209044
86,-2711.000000,-2710.999985,-93.645281
87,-2357.111084,-2357.111130,-88.448696
88,-2854.555664,-2854.555542,-107.544345
89,-1932.222290,-1932.222214,-122.929018
90,-3085.222168,-3085.222198,-102.967613
91,-2483.888916,-2483.888855,-65.574743
92,-2716.111084,-2716.111130,-93.868310
93,-2358.333252,-2358.333344,-126.651495
94,-2701.888916,-2701.888885,-101.684851
95,-2482.000000,-2482.000015,-137.642908
96,-2120.222168,-2120.222244,-76.350932
97,-2309.777832,-2309.777817,-94.761670
98,-2737.444336,-2737.444366,-137.981782
