episode,reward,r_acc,r_action
1,-2341.777832,-2341.777832,-74.252029
2,-2773.222168,-2773.222214,-84.097141
3,-2732.444336,-2732.444504,-83.902737
4,-2452.555664,-2452.555542,-114.789785
5,-2596.222168,-2596.222260,-88.298412
6,-2584.444580,-2584.444519,-75.416980
7,-2383.777832,-2383.777740,-119.222284
8,-2658.666748,-2658.666611,-114.262579
9,-3249.555664,-3249.555588,-75.013950
10,-2788.222168,-2788.222198,-122.140869
11,-3523.777832,-3523.777771,-93.694330
12,-3036.000000,-3035.999985,-93.181593
13,-2940.888916,-2940.888840,-91.484639
14,-2725.666748,-2725.666641,-84.131089
15,-3301.777832,-3301.777771,-95.112501
16,-2566.666504,-2566.666611,-101.815875
17,-2759.000000,-2759.000015,-60.153638
18,-2006.777710,-2006.777763,-105.561612
19,-2498.333496,-2498.333328,-126.196019
20,-2726.888672,-2726.888916,-67.389808
21,-3238.777832,-3238.777771,-94.295480
22,-3103.777832,-3103.777740,-120.832536
23,-3227.333496,-3227.333374,-135.934158
24,-2921.555420,-2921.555557,-102.694178
25,-2337.888916,-2337.888901,-70.517959
26,-2437.111328,-2437.111069,-81.559903
27,-2447.000244,-2446.999985,-89.110016
28,-2445.555420,-2445.555573,-106.109114
29,-2176.444336,-2176.444473,-63.075909
30,-2373.333496,-2373.333313,-84.993151
31,-2675.333252,-2675.333359,-113.543042
32,-2794.222168,-2794.222206,-100.912451
33,-2844.666504,-2844.666672,-120.559396
34,-2776.444580,-2776.444458,-87.016526
35,-2284.110840,-2284.111084,-112.134317
36,-2453.555420,-2453.555527,-78.916178
37,-3110.666504,-3110.666664,-96.493270
38,-2800.000000,-2800.000015,-94.361691
39,-2877.444580,-2877.444458,-80.901292
40,-3029.111084,-3029.111191,-115.672467
41,-2851.555664,-2851.555542,-139.813985
42,-2512.888916,-2512.888947,-92.640697
43,-2955.555420,-2955.555496,-107.313082
44,-3049.777832,-3049.777832,-95.647284
45,-2927.000000,-2926.999947,-85.026145
46,-2896.333252,-2896.333298,-111.440079
47,-2280.000000,-2280.000015,-99.243669
48,-2528.111328,-2528.111099,-85.769945
49,-3421.333252,-3421.333328,-77.744841
50,-3394.555420,-3394.555573,-106.073079
51,-2626.222168,-2626.222198,-147.746825
52,-2653.777832,-2653.777771,-90.494592
53,-2223.555664,-2223.555511,-96.125149
