episode,reward,r_acc,r_action
1,-2889.411621,-2847.111099,-42.300211
2,-2696.712646,-2650.777748,-45.934849
3,-2578.139648,-2531.555557,-46.584144
4,-2674.940186,-2629.333359,-45.606841
5,-2510.814697,-2465.444427,-45.370333
6,-3132.914307,-3076.333328,-56.581081
7,-2613.026611,-2560.888916,-52.137630
8,-1988.208496,-1948.333344,-39.875196
9,-2776.283447,-2724.555573,-51.727921
10,-2715.138184,-2657.999977,-57.138150
11,-2199.641846,-2150.999985,-48.641933
12,-2411.022217,-2353.222214,-57.799928
13,-2509.130615,-2449.666641,-59.464046
14,-2807.232422,-2756.666641,-50.565886
15,-3315.578613,-3261.222198,-54.356279
16,-2938.330078,-2893.222260,-45.107739
17,-2754.107178,-2708.555496,-45.551606
18,-3335.953613,-3277.777740,-58.176005
19,-2917.688477,-2875.888840,-41.799671
20,-3182.558838,-3130.777802,-51.781172
21,-2897.188477,-2847.333298,-49.855305
22,-2883.331055,-2815.222214,-68.108798
23,-2695.936768,-2650.000031,-45.936725
24,-2708.318848,-2660.111084,-48.207764
25,-2655.827393,-2606.222229,-49.605025
26,-2237.306152,-2176.888870,-60.417159
27,-2388.005859,-2332.666672,-55.339059
28,-2819.177002,-2767.000031,-52.177033
29,-2825.903564,-2778.888947,-47.014663
30,-2687.826172,-2629.666687,-58.159376
31,-2141.752930,-2084.111168,-57.641554
32,-2765.600586,-2720.666641,-44.933926
33,-3310.604004,-3245.444489,-65.159651
34,-3027.044189,-2984.222198,-42.821881
35,-2779.773438,-2731.555527,-48.217909
36,-2816.176514,-2760.888855,-55.287736
37,-2821.801758,-2768.222214,-53.579351
38,-2180.158203,-2114.777832,-65.380409
39,-2577.073730,-2537.666656,-39.407165
40,-2330.535156,-2284.000023,-46.535162
41,-2460.376465,-2389.333389,-71.043026
42,-2857.845459,-2822.888885,-34.956724
43,-2704.509277,-2658.555603,-45.953895
44,-3133.953125,-3078.777740,-55.175415
45,-3247.833984,-3189.222260,-58.611606
46,-2687.478027,-2630.444473,-57.033558
47,-3006.596436,-2960.777832,-45.818598
48,-3075.496338,-3018.444397,-57.051927
49,-2863.762939,-2811.333344,-52.429720
50,-3441.729492,-3397.000061,-44.729546
51,-2573.256104,-2511.333344,-61.922858
52,-2396.309814,-2345.333344,-50.976482
53,-2847.403564,-2801.333344,-46.070183
54,-2892.395020,-2829.555557,-62.839418
55,-2482.531982,-2433.222229,-49.309686
56,-2920.744873,-2858.333344,-62.411346
57,-2924.028564,-2876.555573,-47.472916
58,-2537.409668,-2486.222260,-51.187387
59,-2837.585693,-2784.888885,-52.696683
60,-2584.058594,-2529.666641,-54.391959
61,-2257.902832,-2217.777740,-40.125090
62,-2476.684814,-2424.444458,-52.240406
63,-2489.518311,-2441.333374,-48.184993
64,-2949.173828,-2897.000000,-52.173802
65,-2998.692139,-2927.444427,-71.247867
66,-2157.537354,-2096.999969,-60.537371
67,-2296.599854,-2240.111160,-56.488868
68,-2509.891602,-2457.444427,-52.447153
69,-1946.440063,-1894.888901,-51.551083
70,-2625.461914,-2581.555557,-43.906254
71,-2737.983154,-2686.222214,-51.760841
72,-2583.287354,-2538.555542,-44.731637
73,-2827.665771,-2763.555542,-64.110353
74,-2366.276367,-2313.222214,-53.054087
75,-2817.842041,-2750.000000,-67.842107
76,-2650.090088,-2586.222229,-63.867812
77,-3438.752686,-3389.222198,-49.530714
78,-2752.608154,-2703.444458,-49.163695
79,-3150.895020,-3104.555542,-46.339364
80,-2536.203125,-2480.222275,-55.980828
81,-2312.043701,-2258.333313,-53.710430
82,-2227.507080,-2186.999969,-40.507273
83,-2706.111084,-2650.777832,-55.333348
84,-2293.865967,-2235.666687,-58.199266
85,-2779.398193,-2719.000000,-60.398418
86,-2865.066895,-2805.888855,-59.178029
87,-2284.737793,-2236.111076,-48.626853
88,-2147.385986,-2080.444427,-66.941603
89,-2583.491455,-2533.444473,-50.046962
90,-2598.507324,-2551.222198,-47.285015
91,-2670.801758,-2620.333405,-50.468311
92,-2507.781006,-2456.333313,-51.447880
93,-2005.269165,-1954.222229,-51.046968
94,-2930.530273,-2875.333313,-55.197062
95,-2949.066650,-2898.555542,-50.511155
96,-2227.757812,-2152.444443,-75.313434
97,-2319.426270,-2254.666656,-64.759507
98,-2541.361084,-2484.111115,-57.249859
99,-2680.041016,-2629.666656,-50.374383
100,-2628.216309,-2573.555527,-54.660622
101,-2619.512451,-2586.333344,-33.179077
102,-2346.997559,-2295.777756,-51.219912
103,-2514.392090,-2457.111084,-57.280984
104,-2625.806152,-2563.666672,-62.139377
105,-2298.659180,-2256.333344,-42.325863
106,-2818.483643,-2753.444443,-65.039279
107,-2447.306885,-2387.444489,-59.862348
