episode,reward,r_acc,r_action
145,-1978.222168,-1978.222214,-99.093091
146,-2157.777832,-2157.777802,-84.646629
147,-2102.777832,-2102.777771,-140.097784
148,-1992.333252,-1992.333366,-103.763655
149,-1861.444458,-1861.444427,-89.692253
150,-2083.889160,-2083.888893,-105.402003
151,-2551.888916,-2551.888885,-98.698567
152,-2173.666748,-2173.666641,-77.207107
153,-2549.444336,-2549.444473,-105.602970
154,-2110.778076,-2110.777817,-116.024695
155,-2660.222412,-2660.222198,-76.444460
156,-1835.444336,-1835.444427,-73.176045
157,-2534.888672,-2534.888870,-98.259842
158,-1863.000000,-1863.000038,-118.412250
159,-2453.666748,-2453.666656,-72.746822
160,-2748.777588,-2748.777771,-76.697568
161,-2007.555542,-2007.555557,-97.599627
162,-2828.111084,-2828.111069,-107.566885
163,-2792.333252,-2792.333328,-73.534963
164,-2190.333252,-2190.333344,-111.186867
165,-2671.555664,-2671.555603,-95.057947
166,-2057.444336,-2057.444443,-92.691112
167,-3287.111084,-3287.111069,-93.256793
168,-2975.333252,-2975.333328,-76.145191
169,-2935.000000,-2935.000015,-86.562839
170,-2478.888916,-2478.888916,-79.316699
171,-2392.666748,-2392.666672,-93.691420
172,-3281.555664,-3281.555588,-120.121678
173,-2414.888916,-2414.888885,-92.534768
174,-2702.111328,-2702.111145,-101.358362
175,-3855.444336,-3855.444450,-112.203853
176,-2361.666504,-2361.666672,-128.852185
177,-2956.555420,-2956.555611,-121.356864
178,-1804.000000,-1804.000000,-64.521634
179,-3302.444336,-3302.444458,-123.955733
180,-2372.888916,-2372.888885,-116.841668
181,-2786.222412,-2786.222153,-100.056676
182,-2934.000000,-2934.000000,-136.697071
183,-2823.555420,-2823.555511,-129.644243
184,-2949.666748,-2949.666672,-128.991765
185,-3652.888916,-3652.888855,-114.132946
186,-2992.666504,-2992.666595,-87.348812
187,-2104.222168,-2104.222214,-93.774671
188,-3510.333496,-3510.333374,-143.572372
189,-2373.444336,-2373.444435,-107.876207
190,-2420.333252,-2420.333313,-134.315638
191,-2674.888916,-2674.888901,-64.650347
192,-3478.777588,-3478.777794,-113.457074
193,-2271.222168,-2271.222260,-105.241513
194,-2539.888916,-2539.888855,-59.982318
195,-3052.555664,-3052.555542,-66.129042
196,-3393.777832,-3393.777771,-118.063397
197,-3565.333496,-3565.333359,-89.032787
198,-2850.333252,-2850.333313,-104.064349
199,-3574.110840,-3574.111099,-116.436476
200,-2721.889160,-2721.888901,-139.809075
201,-3070.555664,-3070.555603,-104.216510
202,-2507.222168,-2507.222198,-122.515584
203,-2178.333496,-2178.333344,-110.299919
204,-2829.333008,-2829.333313,-114.711498
205,-2290.111084,-2290.111115,-104.710153
206,-2153.444336,-2153.444397,-119.543018
207,-1890.777832,-1890.777802,-103.141777
208,-2439.000000,-2439.000015,-118.374554
209,-2100.777832,-2100.777771,-82.124693
210,-2561.333496,-2561.333359,-93.344007
211,-1714.222168,-1714.222183,-69.322808
212,-2254.666748,-2254.666710,-88.857779
213,-1779.666748,-1779.666641,-142.278871
214,-2091.111084,-2091.111130,-68.116951
215,-1906.555542,-1906.555527,-88.495598
216,-2137.333252,-2137.333344,-113.476729
217,-2063.111084,-2063.111084,-89.887395
218,-2295.555664,-2295.555511,-84.759944
219,-2188.777832,-2188.777786,-105.051454
220,-2198.000000,-2198.000000,-111.362851
221,-1825.777832,-1825.777779,-110.798273
222,-1877.111084,-1877.111099,-73.534711
223,-1977.444458,-1977.444443,-108.272573
224,-1567.444458,-1567.444450,-108.945362
225,-2217.666748,-2217.666687,-103.178282
226,-1596.777710,-1596.777748,-82.036320
227,-2147.000000,-2147.000000,-115.615071
228,-2118.111084,-2118.111115,-96.288770
229,-1779.222168,-1779.222191,-103.682143
230,-2035.555542,-2035.555542,-128.665421
231,-1699.888916,-1699.888885,-78.943620
232,-1928.999878,-1929.000000,-97.638219
233,-1241.777832,-1241.777786,-72.126684
234,-1702.555664,-1702.555573,-78.645094
235,-2255.222168,-2255.222214,-97.082921
236,-2044.888916,-2044.888916,-110.227326
237,-1755.444458,-1755.444473,-104.283486
238,-1478.444336,-1478.444450,-138.146305
239,-1745.666626,-1745.666641,-105.258783
240,-2314.444336,-2314.444473,-100.134618
241,-1958.111084,-1958.111092,-119.074253
242,-1341.777832,-1341.777802,-107.095630
243,-1560.444458,-1560.444443,-107.416553
244,-1293.555420,-1293.555550,-82.524745
245,-1626.888794,-1626.888847,-116.855571
246,-1651.444458,-1651.444443,-107.624751
247,-1188.333374,-1188.333328,-118.019759
248,-1666.999878,-1667.000031,-84.300991
249,-1195.333496,-1195.333344,-83.445438
250,-1735.888794,-1735.888863,-75.985675
251,-1436.333374,-1436.333336,-117.984415
252,-1419.555542,-1419.555557,-113.908131
253,-1806.111084,-1806.111084,-126.015315
254,-1130.111084,-1130.111122,-78.868606
255,-1428.444458,-1428.444443,-120.729577
256,-1314.666748,-1314.666687,-123.506202
257,-1790.444458,-1790.444458,-88.943483
258,-1381.888794,-1381.888885,-135.615214
259,-1802.777832,-1802.777779,-155.341131
260,-1714.555542,-1714.555557,-106.737128
261,-1535.777832,-1535.777748,-65.935758
262,-1225.333252,-1225.333336,-97.653834
263,-1317.888916,-1317.888870,-116.857521
264,-1268.222290,-1268.222221,-77.553638
265,-1159.222168,-1159.222221,-79.512024
266,-1155.444458,-1155.444450,-89.876704
267,-1213.444458,-1213.444412,-94.398589
268,-914.888916,-914.888885,-81.383449
269,-1428.111206,-1428.111084,-112.180146
270,-1238.555664,-1238.555550,-93.892172
271,-1595.888916,-1595.888885,-87.994878
272,-1322.555542,-1322.555542,-101.745296
273,-1093.777710,-1093.777771,-116.715326
274,-1322.555542,-1322.555527,-90.877763
275,-1425.111084,-1425.111130,-105.458901
276,-1358.555664,-1358.555542,-96.865547
277,-1214.111084,-1214.111099,-106.641051
278,-1253.333252,-1253.333313,-123.596031
279,-1295.333252,-1295.333328,-88.372070
280,-1123.666748,-1123.666679,-79.877494
281,-1154.666748,-1154.666664,-139.458117
282,-1216.777832,-1216.777763,-107.839834
283,-1290.444458,-1290.444443,-88.472290
284,-1663.000000,-1663.000023,-119.148119
285,-883.222229,-883.222221,-98.160970
286,-1396.555542,-1396.555550,-148.316382
287,-1093.111084,-1093.111115,-118.138598
288,-953.888855,-953.888874,-110.460236
289,-1353.777832,-1353.777771,-86.173269
290,-1140.666626,-1140.666672,-98.759402
291,-897.888916,-897.888901,-121.602723
292,-1275.888916,-1275.888885,-138.363347
293,-933.555481,-933.555557,-119.190203
294,-1346.222168,-1346.222229,-85.536316
295,-1001.888855,-1001.888893,-91.582114
296,-1254.999878,-1254.999977,-100.634165
297,-1151.777832,-1151.777786,-113.261156
298,-1017.333313,-1017.333321,-96.747766
299,-1132.111206,-1132.111107,-109.112803
300,-1287.000000,-1287.000015,-112.132763
301,-862.444458,-862.444454,-105.313165
302,-1071.111084,-1071.111115,-123.415409
303,-951.555542,-951.555565,-142.114295
304,-888.888855,-888.888893,-91.902249
305,-978.444397,-978.444443,-101.166735
306,-1049.333374,-1049.333309,-135.814205
307,-921.666626,-921.666664,-104.212313
308,-1306.888916,-1306.888893,-86.389859
309,-1330.000000,-1329.999985,-87.862959
310,-1169.666626,-1169.666679,-131.389885
311,-846.333313,-846.333328,-101.808530
312,-629.111084,-629.111115,-104.861962
313,-1502.333374,-1502.333344,-155.151312
314,-1000.444458,-1000.444458,-109.154477
315,-1715.555664,-1715.555542,-129.002628
316,-969.555542,-969.555557,-98.349748
317,-1351.555542,-1351.555542,-105.864197
318,-1269.888916,-1269.888901,-130.414394
319,-1420.222168,-1420.222229,-96.887221
320,-1190.555542,-1190.555573,-126.113455
321,-641.000000,-640.999996,-139.331152
322,-911.555603,-911.555565,-139.162968
323,-1100.666626,-1100.666649,-111.436505
324,-1145.000000,-1144.999992,-118.647533
325,-760.888916,-760.888893,-93.288406
326,-766.222290,-766.222218,-110.360515
327,-1203.777710,-1203.777779,-107.012730
328,-798.666626,-798.666653,-96.834678
329,-1356.666626,-1356.666672,-120.038382
330,-627.333374,-627.333344,-83.430692
331,-831.777771,-831.777771,-103.762483
332,-859.000000,-858.999992,-96.406943
333,-783.666626,-783.666672,-96.758338
334,-814.333374,-814.333336,-114.318168
335,-656.000000,-656.000000,-111.148646
336,-799.000000,-799.000004,-96.325819
337,-973.666748,-973.666679,-105.081011
338,-772.222229,-772.222208,-95.238700
339,-881.222168,-881.222221,-143.934412
340,-1004.666626,-1004.666683,-90.686608
341,-1058.222290,-1058.222206,-97.794415
342,-1007.222168,-1007.222240,-102.254834
343,-1086.000000,-1086.000008,-97.312101
344,-759.222290,-759.222244,-85.779335
345,-702.333313,-702.333330,-133.905033
346,-658.888916,-658.888885,-101.858799
347,-699.111084,-699.111107,-106.127930
348,-715.666687,-715.666679,-103.217165
349,-760.111145,-760.111111,-114.791284
350,-800.444397,-800.444439,-86.836223
351,-1134.444458,-1134.444450,-131.122164
352,-590.666626,-590.666670,-110.496495
353,-982.333374,-982.333359,-102.192900
354,-1093.555664,-1093.555573,-104.789013
355,-577.333374,-577.333332,-109.421832
356,-570.111084,-570.111111,-108.928091
357,-727.111145,-727.111111,-127.352996
358,-989.444458,-989.444443,-107.575198
359,-714.888855,-714.888882,-116.026422
360,-698.000000,-698.000015,-123.938954
361,-1085.666626,-1085.666672,-110.507538
362,-660.222168,-660.222225,-114.582236
363,-543.444458,-543.444447,-113.172163
364,-716.333313,-716.333347,-93.655901
365,-609.777771,-609.777775,-123.669889
366,-676.666687,-676.666672,-111.419116
367,-895.777771,-895.777782,-137.364902
368,-525.666626,-525.666660,-113.435181
369,-740.777710,-740.777771,-95.188482
370,-534.666687,-534.666664,-89.027667
371,-511.666656,-511.666676,-92.335543
372,-527.888916,-527.888889,-126.339230
373,-626.444458,-626.444450,-148.010828
374,-577.555542,-577.555557,-145.824627
375,-601.444458,-601.444443,-89.331896
376,-441.000031,-441.000004,-107.357044
377,-670.777832,-670.777782,-138.601899
378,-492.555542,-492.555555,-96.724858
379,-598.111145,-598.111107,-112.622465
380,-695.333313,-695.333344,-76.814244
381,-392.777771,-392.777775,-126.902771
382,-426.111084,-426.111107,-128.757214
383,-477.666687,-477.666666,-123.792072
384,-575.666687,-575.666660,-120.304886
385,-409.777771,-409.777771,-94.878509
386,-477.555542,-477.555557,-102.875788
387,-465.666687,-465.666670,-74.689048
388,-433.222229,-433.222221,-93.242314
389,-627.555542,-627.555546,-97.334580
390,-536.888916,-536.888874,-124.425914
391,-543.777832,-543.777781,-100.735431
392,-594.000000,-593.999996,-98.988941
393,-245.555557,-245.555557,-105.377801
394,-520.888855,-520.888885,-128.482637
395,-386.111084,-386.111103,-102.994009
396,-537.111145,-537.111118,-78.229578
397,-469.222198,-469.222223,-87.026340
398,-353.888885,-353.888893,-99.220727
399,-730.333313,-730.333332,-115.302556
400,-639.444397,-639.444443,-111.100081
401,-354.666656,-354.666664,-107.037605
402,-419.333313,-419.333338,-85.962964
403,-418.333374,-418.333340,-87.159260
404,-359.777802,-359.777773,-110.163788
405,-520.666626,-520.666664,-125.760392
406,-283.222229,-283.222221,-89.095418
407,-472.444458,-472.444439,-96.294593
408,-319.888885,-319.888889,-108.443230
409,-350.111115,-350.111109,-122.755616
410,-221.777786,-221.777778,-84.577246
411,-387.666687,-387.666664,-102.699424
412,-434.444458,-434.444444,-120.347987
