episode,reward,r_acc,r_action
145,-2078.730225,-2016.111084,-62.619104
146,-1848.520996,-1808.000000,-40.521012
147,-1826.065063,-1763.333351,-62.731715
148,-2183.180664,-2132.777725,-50.402805
149,-1716.128174,-1673.666656,-42.461378
150,-2222.282471,-2167.888947,-54.393378
151,-2318.688477,-2248.888885,-69.799622
152,-1658.827637,-1605.000000,-53.827624
153,-1558.816284,-1504.222198,-54.594143
154,-2124.066650,-2054.555557,-69.511159
155,-2184.398682,-2129.888885,-54.509952
156,-1739.553101,-1682.999969,-56.553131
157,-1965.469849,-1900.111130,-65.358688
158,-2324.023926,-2267.222229,-56.801580
159,-2350.540771,-2297.777771,-52.763125
160,-2445.390381,-2392.111115,-53.279164
161,-2300.830078,-2224.222229,-76.607907
162,-2170.189453,-2105.333328,-64.856240
163,-1738.270142,-1684.111115,-54.159111
164,-1905.137573,-1840.888901,-64.248661
165,-2087.360352,-2021.222214,-66.138092
166,-1837.772583,-1786.444458,-51.328051
167,-1854.611328,-1795.555557,-59.055722
168,-1842.845215,-1793.888885,-48.956343
169,-1574.838989,-1524.444473,-50.394568
170,-2457.840576,-2398.777725,-59.062756
171,-2863.988770,-2813.444458,-50.544238
172,-2077.088135,-2019.555542,-57.532514
173,-2057.156006,-2010.111130,-47.044936
174,-1893.508179,-1824.444427,-69.063764
175,-1874.199219,-1804.222214,-69.977023
176,-1796.617432,-1758.111145,-38.506312
177,-2223.862061,-2173.555557,-50.306480
178,-1933.429199,-1890.555573,-42.873618
179,-2088.958740,-2043.555542,-45.403278
180,-2035.825195,-1974.666649,-61.158532
181,-2347.033691,-2296.000031,-51.033687
182,-2092.043945,-2040.777771,-51.266319
183,-2351.983398,-2300.333313,-51.650247
184,-2005.750000,-1952.666695,-53.083305
185,-2633.433838,-2564.555557,-68.878418
186,-1892.237549,-1835.444473,-56.793066
187,-2061.746094,-1998.777756,-62.968424
188,-1830.530518,-1781.333313,-49.197290
189,-2351.374756,-2312.777802,-38.597144
190,-1776.265747,-1715.111099,-61.154597
191,-1797.358521,-1744.666687,-52.691899
192,-2283.769531,-2232.555527,-51.213953
193,-2302.057129,-2232.222229,-69.834842
194,-1878.855591,-1810.777771,-68.077789
195,-1843.983887,-1791.666656,-52.317305
196,-1825.235840,-1772.111115,-53.124622
197,-2288.626709,-2233.000015,-55.626661
198,-1890.611328,-1839.888901,-50.722348
199,-1769.487183,-1719.666672,-49.820407
200,-1909.273560,-1847.888924,-61.384672
201,-2263.936279,-2215.555573,-48.380866
202,-1969.078369,-1927.333328,-41.745002
203,-1843.667114,-1767.444443,-76.222733
204,-2106.782471,-2034.000000,-72.782480
205,-1789.832031,-1737.111115,-52.720867
206,-2228.610596,-2166.555573,-62.054915
207,-1775.557739,-1713.111115,-62.446654
208,-2057.449951,-2005.555588,-51.894424
209,-1897.513306,-1839.888916,-57.624414
210,-1758.727539,-1704.555542,-54.171948
211,-1620.189087,-1553.666656,-66.522520
212,-2186.748535,-2153.444412,-33.304330
213,-1677.658203,-1624.333328,-53.324783
214,-1801.066040,-1746.666687,-54.399422
215,-2093.832031,-2034.888870,-58.943155
216,-2046.973755,-2000.333344,-46.640464
217,-1913.551147,-1845.222244,-68.328921
218,-2177.647461,-2128.111084,-49.536323
219,-1762.300415,-1706.222214,-56.078157
220,-2127.721924,-2065.555542,-62.166285
221,-2120.488037,-2068.000031,-52.488128
222,-1973.331665,-1921.888885,-51.442872
223,-2033.871582,-1969.555557,-64.316054
224,-2193.920898,-2129.888863,-64.032127
225,-1754.382935,-1683.666672,-70.716205
226,-2209.133789,-2154.111160,-55.022606
227,-2130.477783,-2081.777779,-48.699977
228,-2206.096436,-2146.222244,-59.874269
229,-1645.617798,-1584.111107,-61.506672
230,-2177.837158,-2122.555542,-55.281763
231,-1906.755859,-1855.888878,-50.866904
232,-2017.078491,-1963.333351,-53.745110
233,-1841.200806,-1775.444443,-65.756400
234,-2182.333496,-2117.666672,-64.666880
235,-1904.775635,-1857.000000,-47.775621
236,-1739.137695,-1689.888863,-49.248827
237,-2222.406982,-2168.444473,-53.962653
238,-2284.429932,-2226.888855,-57.541076
239,-2001.790283,-1937.444473,-64.345832
240,-2015.248413,-1974.444427,-40.803983
241,-1782.988892,-1723.444443,-59.544430
242,-2478.557129,-2429.666656,-48.890420
243,-2334.388916,-2265.333344,-69.055542
244,-1887.909912,-1839.888947,-48.021086
245,-2821.387451,-2752.666656,-68.720929
246,-2064.309082,-2020.666656,-43.642303
247,-2430.588379,-2374.444397,-56.143933
248,-2346.933838,-2286.333344,-60.600449
249,-3046.333740,-2983.111099,-63.222686
250,-1768.714233,-1718.444466,-50.269728
251,-2070.270752,-2009.444443,-60.826203
252,-2084.515869,-2039.444450,-45.071491
253,-1774.464966,-1735.111099,-39.353818
254,-2384.526855,-2334.222260,-50.304540
255,-1835.347412,-1779.555527,-55.791814
256,-1971.524292,-1913.666656,-57.857670
257,-2239.964355,-2183.333328,-56.631056
258,-2010.363281,-1966.000031,-44.363224
259,-1616.162231,-1562.111122,-54.051147
260,-1918.057129,-1862.999985,-55.057144
261,-1809.200928,-1738.888870,-70.312052
262,-1833.767212,-1783.777740,-49.989495
263,-2120.930176,-2072.888885,-48.041271
264,-2162.788330,-2104.666626,-58.121833
265,-2083.909668,-2022.555573,-61.354146
266,-1599.330200,-1535.444443,-63.885817
267,-2401.317139,-2343.999969,-57.317297
268,-2401.707031,-2354.777740,-46.929225
269,-1820.966187,-1755.222221,-65.743984
270,-1952.766357,-1894.777817,-57.988481
271,-1923.119995,-1871.555542,-51.564429
272,-2178.423828,-2131.777756,-46.646051
273,-2078.797119,-2028.888901,-49.908106
274,-2013.234375,-1954.444435,-58.789962
275,-1829.261230,-1782.444473,-46.816873
276,-2408.302734,-2364.777786,-43.524983
277,-1735.850342,-1696.000000,-39.850371
278,-1860.202271,-1804.444443,-55.757885
279,-1845.980225,-1806.222214,-39.757930
280,-2068.235840,-2017.666664,-50.569116
281,-1741.754395,-1675.888870,-65.865484
282,-2245.451172,-2200.444412,-45.006757
283,-1810.685547,-1736.444473,-74.241083
284,-1700.936157,-1650.111130,-50.824932
285,-1987.175537,-1913.444481,-73.731163
286,-2182.623535,-2120.444397,-62.179087
287,-2064.332275,-2017.222260,-47.109978
