episode,reward,r_acc,r_action
1,-2844.502686,-2799.888855,-44.613900
2,-2798.209473,-2758.333328,-39.876071
3,-2733.591064,-2679.222260,-54.368678
4,-2374.107178,-2322.222229,-51.884915
5,-2697.118164,-2637.000015,-60.118216
6,-2019.441406,-1956.000000,-63.441565
7,-2587.106689,-2535.888916,-51.217712
8,-2922.626221,-2872.222260,-50.404115
9,-2488.440674,-2434.666641,-53.774274
10,-2694.717285,-2640.777771,-53.939685
11,-2737.728516,-2700.333298,-37.395421
12,-2640.241211,-2578.222229,-62.019010
13,-2518.479004,-2468.888832,-49.590219
14,-2474.172363,-2427.444466,-46.727774
15,-2467.878662,-2425.444458,-42.434131
16,-3029.513428,-2974.222214,-55.291196
17,-3081.036621,-3034.000015,-47.036675
18,-2532.834473,-2471.111084,-61.723200
19,-3460.217529,-3418.333344,-41.884110
20,-2862.668945,-2808.222267,-54.446836
21,-2589.220215,-2525.333313,-63.886869
22,-2628.288574,-2575.666672,-52.621939
23,-2597.611816,-2542.111053,-55.500776
24,-2357.348877,-2314.111092,-43.237776
25,-3340.425781,-3278.666702,-61.759092
26,-2680.225830,-2626.888901,-53.337034
27,-2206.951416,-2158.888901,-48.062534
28,-2752.137695,-2693.333328,-58.804208
29,-2656.673340,-2603.999985,-52.673226
30,-3128.729980,-3090.222198,-38.507683
31,-3080.245605,-3030.111115,-50.134350
32,-2833.377686,-2783.111130,-50.266652
33,-2292.353516,-2238.111115,-54.242365
34,-2580.024658,-2527.111115,-52.913471
35,-2332.361816,-2277.111092,-55.250757
36,-2672.854736,-2624.222214,-48.632469
37,-2390.778076,-2339.777740,-51.000333
38,-2779.881836,-2734.222244,-45.659478
39,-2280.872314,-2222.444458,-58.427778
40,-2216.332764,-2167.111084,-49.221819
41,-2112.395996,-2065.555580,-46.840276
42,-3181.981934,-3140.444489,-41.537444
43,-2625.450195,-2567.444489,-58.005567
44,-2868.958008,-2811.111115,-57.846678
45,-3630.133545,-3573.777679,-56.356040
46,-2673.222412,-2619.777756,-53.444609
47,-2996.364746,-2940.555542,-55.809234
48,-2962.352295,-2928.555603,-33.796948
49,-2773.213135,-2708.777794,-64.435176
50,-2856.246826,-2818.444458,-37.802233
51,-2500.820312,-2451.888817,-48.931586
52,-2642.406494,-2592.222229,-50.184345
53,-2836.432861,-2798.999924,-37.432991
54,-2955.312256,-2907.222153,-48.090140
55,-2142.314941,-2087.777794,-54.537220
56,-3261.574951,-3202.111023,-59.463703
57,-3234.082031,-3192.555588,-41.526376
58,-3836.964844,-3788.222244,-48.742610
59,-2751.762451,-2701.888824,-49.873750
60,-3075.317139,-3032.666611,-42.650281
61,-3275.866943,-3232.888901,-42.978030
62,-3533.547363,-3487.999954,-45.547523
63,-2628.832520,-2567.999985,-60.832456
64,-2867.282715,-2811.777817,-55.504696
65,-2898.022461,-2850.000015,-48.022706
66,-3501.487793,-3443.444504,-58.043258
67,-2360.035645,-2308.999985,-51.035552
68,-2975.125000,-2927.777771,-47.347262
69,-2692.106201,-2649.000000,-43.106239
70,-2931.653320,-2883.000031,-48.653177
71,-2438.128418,-2384.444458,-53.684155
72,-2892.144775,-2845.000015,-47.144734
73,-3047.865234,-3013.000000,-34.865174
74,-2339.842285,-2305.111088,-34.731093
75,-2893.322510,-2843.666718,-49.655896
76,-2557.404785,-2493.666656,-63.737956
77,-3504.032471,-3454.333405,-49.698848
78,-2421.004150,-2377.222260,-43.781795
79,-2524.794922,-2474.222252,-50.572684
80,-2853.739014,-2799.999939,-53.739097
81,-2808.472900,-2753.777832,-54.695156
82,-2785.057129,-2737.000015,-48.057250
83,-2251.580322,-2195.111107,-56.469346
84,-2424.218018,-2364.111099,-60.106841
85,-2402.272949,-2347.111115,-55.161810
86,-2803.556152,-2770.333344,-33.223052
87,-2769.108398,-2713.222198,-55.886236
88,-2918.879639,-2872.333313,-46.546150
89,-2114.452881,-2072.222176,-42.230881
90,-2739.971436,-2689.999969,-49.971368
91,-3141.787842,-3092.555603,-49.232089
92,-2513.366943,-2466.555542,-46.811270
93,-2879.121826,-2832.111038,-47.010654
94,-2475.878662,-2429.666687,-46.212177
95,-2462.109131,-2392.888916,-69.220178
96,-2702.173584,-2660.888931,-41.284788
97,-2280.712158,-2242.444443,-38.267688
98,-2381.014160,-2325.222244,-55.791983
99,-2508.186768,-2437.555603,-70.631392
100,-2614.378418,-2574.666656,-39.711930
101,-2389.684326,-2339.000000,-50.684235
102,-2578.362793,-2512.888870,-65.473968
103,-2779.895508,-2734.333313,-45.562254
104,-3020.234863,-2967.333313,-52.901640
105,-2997.565186,-2946.666702,-50.898342
106,-2349.671143,-2304.777771,-44.893496
107,-2891.402588,-2825.666626,-65.735927
108,-2176.152588,-2123.111115,-53.041467
109,-2362.058594,-2311.888901,-50.169871
110,-2702.097412,-2652.888885,-49.208565
111,-2516.111816,-2467.666687,-48.445181
112,-2232.573975,-2171.222198,-61.351786
113,-2353.458984,-2300.555542,-52.903580
114,-2300.042480,-2245.111069,-54.931392
