episode,reward,r_acc,r_action
1,-2660.888916,-2660.888855,-120.521258
2,-2508.555664,-2508.555527,-109.588116
3,-2651.333496,-2651.333282,-135.398264
4,-2523.555664,-2523.555573,-75.840566
5,-2505.777832,-2505.777794,-131.675651
6,-2372.333252,-2372.333298,-100.822682
7,-2189.000000,-2189.000046,-79.387840
8,-2516.777832,-2516.777802,-80.704844
9,-2658.333008,-2658.333374,-76.126143
10,-2782.000000,-2781.999962,-115.712883
11,-2384.555420,-2384.555588,-89.276902
12,-2877.110840,-2877.111084,-86.639196
13,-2735.555664,-2735.555580,-117.477070
14,-2901.555420,-2901.555527,-78.705809
15,-2726.777832,-2726.777771,-105.435346
16,-2668.221924,-2668.222260,-108.133601
17,-2537.444336,-2537.444443,-113.130119
18,-2853.666748,-2853.666641,-90.469075
19,-2566.444580,-2566.444443,-80.993094
20,-2291.111084,-2291.111130,-93.426710
21,-2929.222168,-2929.222198,-74.860148
22,-3061.555664,-3061.555542,-81.752507
23,-2893.444580,-2893.444412,-134.409180
24,-2397.333252,-2397.333313,-111.028669
25,-3086.555420,-3086.555511,-94.177236
26,-2272.666504,-2272.666656,-110.236489
27,-3001.111328,-3001.111145,-133.334535
28,-3100.000244,-3100.000031,-122.002013
29,-3285.222168,-3285.222198,-90.691690
30,-2715.111084,-2715.111115,-97.475266
31,-2817.222168,-2817.222260,-91.289150
32,-2772.777588,-2772.777725,-80.357035
33,-3143.444336,-3143.444458,-81.787556
34,-2858.444336,-2858.444473,-70.925254
35,-3295.888672,-3295.888901,-76.259193
36,-2871.888916,-2871.888885,-79.434847
37,-3283.888916,-3283.888885,-71.916431
38,-3384.333252,-3384.333267,-126.091603
39,-3016.666748,-3016.666626,-98.972162
40,-3302.333252,-3302.333328,-76.830051
41,-2577.777832,-2577.777786,-94.529007
42,-2620.111328,-2620.111145,-73.928138
43,-3277.888916,-3277.888916,-103.432620
44,-2995.444336,-2995.444458,-96.353588
45,-2820.777588,-2820.777832,-76.755871
46,-3448.000000,-3448.000046,-107.412773
47,-2946.555664,-2946.555542,-108.565673
48,-2736.888916,-2736.888885,-99.613230
49,-3239.333496,-3239.333374,-99.603122
50,-2637.222412,-2637.222168,-97.542996
51,-2842.555420,-2842.555511,-101.758472
52,-2572.666504,-2572.666626,-119.915764
53,-2886.110840,-2886.111176,-123.719579
54,-2735.111328,-2735.111145,-134.907690
55,-2487.000000,-2487.000000,-108.280394
56,-3351.111084,-3351.111145,-90.035068
57,-3203.111084,-3203.111084,-112.557830
58,-2660.111328,-2660.111099,-137.692921
59,-2560.000000,-2559.999969,-112.937016
60,-2658.888916,-2658.888947,-89.667940
61,-2112.000000,-2112.000031,-115.873113
62,-2482.222168,-2482.222260,-128.161219
63,-3192.222168,-3192.222191,-166.100790
64,-2555.000000,-2554.999969,-128.720061
65,-2404.555664,-2404.555527,-116.078128
66,-2216.666748,-2216.666687,-119.274827
67,-2974.222168,-2974.222198,-118.842027
68,-2695.777832,-2695.777832,-76.303581
69,-2898.111084,-2898.111092,-95.690313
70,-3042.000000,-3042.000061,-103.018635
71,-2951.555664,-2951.555527,-129.753403
72,-2384.000000,-2384.000031,-101.747207
73,-2493.000000,-2493.000015,-91.678188
74,-2420.666748,-2420.666702,-117.422770
75,-2401.777832,-2401.777771,-100.120682
76,-2881.333252,-2881.333282,-116.741289
77,-2352.555664,-2352.555588,-77.478385
78,-2111.111084,-2111.111115,-91.127543
79,-2315.777832,-2315.777817,-135.471096
80,-2705.222168,-2705.222198,-113.014446
81,-2569.000000,-2569.000061,-66.506165
82,-2527.333496,-2527.333359,-76.861751
83,-2978.777588,-2978.777740,-77.205902
84,-2584.222168,-2584.222214,-106.258594
85,-2124.777588,-2124.777740,-89.391335
86,-2312.111084,-2312.111099,-72.731744
87,-2652.111084,-2652.111099,-87.498280
88,-2648.444336,-2648.444458,-105.985970
89,-2785.333496,-2785.333344,-116.628350
90,-2736.888672,-2736.888885,-113.180294
91,-2874.222412,-2874.222229,-104.611583
92,-3419.555664,-3419.555618,-71.936902
93,-2726.222168,-2726.222214,-80.404328
94,-2772.777588,-2772.777771,-106.380497
95,-3457.222168,-3457.222153,-92.240522
96,-2592.555664,-2592.555542,-82.800409
97,-2621.222168,-2621.222229,-109.624067
98,-2892.888916,-2892.888855,-115.299726
99,-2402.111328,-2402.111115,-87.722218
100,-2481.666504,-2481.666656,-127.140402
101,-2882.555664,-2882.555542,-81.374747
102,-2472.888916,-2472.888870,-88.790051
103,-2240.333496,-2240.333366,-93.166628
104,-2321.111084,-2321.111115,-63.502652
105,-2466.111084,-2466.111099,-105.283610
106,-2189.222412,-2189.222260,-95.576071
107,-2500.111084,-2500.111115,-142.187030
108,-2604.777832,-2604.777756,-113.165382
109,-2857.222168,-2857.222244,-90.054667
110,-1961.333252,-1961.333321,-95.007413
111,-3006.888916,-3006.888870,-94.821819
112,-2497.888916,-2497.888916,-131.912754
113,-3192.000000,-3192.000076,-73.418040
114,-1890.000000,-1889.999969,-93.268717
115,-1844.888916,-1844.888885,-63.426427
116,-3011.444336,-3011.444473,-80.574759
117,-2148.333252,-2148.333328,-67.968794
118,-2499.888916,-2499.888916,-93.195947
119,-2450.111084,-2450.111115,-124.889598
120,-2357.333252,-2357.333290,-90.178877
121,-2681.444336,-2681.444397,-95.509443
122,-1838.000122,-1838.000015,-115.917877
123,-2323.555664,-2323.555534,-113.290230
