episode,reward,r_acc
1,-33444.250000,-33444.250000
2,-32922.375000,-32922.375000
3,-37487.000000,-37487.000000
4,-32940.750000,-32940.750000
5,-32425.750000,-32425.750000
6,-30545.625000,-30545.625000
7,-36536.500000,-36536.500000
8,-33807.375000,-33807.375000
9,-33126.125000,-33126.125000
10,-35625.375000,-35625.375000
11,-36011.250000,-36011.250000
12,-32070.875000,-32070.875000
13,-34045.000000,-34045.000000
14,-33458.625000,-33458.625000
15,-32523.750000,-32523.750000
16,-32549.000000,-32549.000000
17,-34712.125000,-34712.125000
18,-34205.375000,-34205.375000
19,-34090.875000,-34090.875000
20,-35415.750000,-35415.750000
21,-34809.750000,-34809.750000
22,-34931.125000,-34931.125000
23,-33673.750000,-33673.750000
24,-31815.125000,-31815.125000
25,-33459.750000,-33459.750000
26,-32407.375000,-32407.375000
27,-32780.125000,-32780.125000
28,-34280.375000,-34280.375000
29,-33437.875000,-33437.875000
30,-35887.625000,-35887.625000
31,-34602.875000,-34602.875000
32,-34381.875000,-34381.875000
33,-33148.500000,-33148.500000
34,-35981.000000,-35981.000000
35,-33951.000000,-33951.000000
36,-32951.250000,-32951.250000
37,-33473.625000,-33473.625000
38,-35232.375000,-35232.375000
39,-30964.750000,-30964.750000
40,-33009.375000,-33009.375000
41,-33939.500000,-33939.500000
42,-35304.125000,-35304.125000
43,-33494.625000,-33494.625000
44,-34519.875000,-34519.875000
45,-32025.250000,-32025.250000
46,-37792.250000,-37792.250000
47,-35081.250000,-35081.250000
48,-33365.750000,-33365.750000
49,-34026.000000,-34026.000000
50,-37181.625000,-37181.625000
51,-32043.875000,-32043.875000
52,-33605.750000,-33605.750000
53,-31498.750000,-31498.750000
54,-33335.625000,-33335.625000
55,-35004.875000,-35004.875000
56,-34762.875000,-34762.875000
57,-36640.625000,-36640.625000
58,-35721.750000,-35721.750000
59,-34276.250000,-34276.250000
60,-32634.500000,-32634.500000
61,-34735.750000,-34735.750000
62,-36653.125000,-36653.125000
63,-31408.750000,-31408.750000
64,-31190.000000,-31190.000000
65,-33889.750000,-33889.750000
66,-34747.500000,-34747.500000
67,-34209.625000,-34209.625000
68,-35974.875000,-35974.875000
69,-32632.375000,-32632.375000
70,-33198.500000,-33198.500000
71,-32779.250000,-32779.250000
72,-33807.000000,-33807.000000
73,-32426.500000,-32426.500000
74,-32538.000000,-32538.000000
75,-34642.250000,-34642.250000
76,-35028.000000,-35028.000000
77,-32423.375000,-32423.375000
78,-35934.875000,-35934.875000
79,-34111.000000,-34111.000000
80,-32733.625000,-32733.625000
81,-34333.250000,-34333.250000
82,-34295.125000,-34295.125000
83,-34055.625000,-34055.625000
84,-34609.125000,-34609.125000
85,-36012.250000,-36012.250000
86,-35751.625000,-35751.625000
87,-33783.875000,-33783.875000
88,-35931.250000,-35931.250000
89,-35877.875000,-35877.875000
90,-34178.125000,-34178.125000
91,-34625.500000,-34625.500000
92,-35445.500000,-35445.500000
93,-30506.500000,-30506.500000
94,-32871.500000,-32871.500000
95,-35799.875000,-35799.875000
96,-34457.875000,-34457.875000
97,-33481.875000,-33481.875000
98,-32507.125000,-32507.125000
99,-34083.000000,-34083.000000
100,-34480.375000,-34480.375000
101,-35949.250000,-35949.250000
102,-32296.500000,-32296.500000
103,-36748.500000,-36748.500000
104,-34616.000000,-34616.000000
105,-36935.500000,-36935.500000
106,-35802.625000,-35802.625000
107,-35524.875000,-35524.875000
108,-32890.000000,-32890.000000
109,-32093.500000,-32093.500000
110,-37205.125000,-37205.125000
111,-35026.750000,-35026.750000
112,-33343.625000,-33343.625000
113,-35552.125000,-35552.125000
114,-34876.250000,-34876.250000
115,-33840.500000,-33840.500000
116,-33316.375000,-33316.375000
117,-34050.750000,-34050.750000
118,-34331.875000,-34331.875000
119,-34722.500000,-34722.500000
120,-34110.875000,-34110.875000
121,-33218.500000,-33218.500000
122,-36369.125000,-36369.125000
123,-36490.125000,-36490.125000
124,-32914.750000,-32914.750000
125,-33484.750000,-33484.750000
126,-34225.375000,-34225.375000
127,-32196.625000,-32196.625000
128,-33651.750000,-33651.750000
129,-35330.000000,-35330.000000
130,-33165.125000,-33165.125000
131,-32444.000000,-32444.000000
132,-36094.125000,-36094.125000
133,-31324.875000,-31324.875000
134,-33218.500000,-33218.500000
135,-34002.500000,-34002.500000
136,-33643.250000,-33643.250000
137,-32987.875000,-32987.875000
138,-32734.500000,-32734.500000
139,-31989.750000,-31989.750000
140,-34218.375000,-34218.375000
141,-34004.500000,-34004.500000
142,-32252.875000,-32252.875000
143,-32564.375000,-32564.375000
144,-32097.750000,-32097.750000
145,-34778.875000,-34778.875000
146,-33410.250000,-33410.250000
147,-33682.500000,-33682.500000
148,-31379.625000,-31379.625000
149,-31121.375000,-31121.375000
150,-31568.750000,-31568.750000
151,-32775.000000,-32775.000000
152,-32473.625000,-32473.625000
153,-32153.750000,-32153.750000
154,-37086.500000,-37086.500000
155,-33449.125000,-33449.125000
156,-32614.875000,-32614.875000
157,-33787.375000,-33787.375000
158,-34091.625000,-34091.625000
159,-34703.875000,-34703.875000
160,-34525.875000,-34525.875000
161,-34931.750000,-34931.750000
162,-32809.875000,-32809.875000
163,-38691.125000,-38691.125000
164,-31484.750000,-31484.750000
165,-37516.750000,-37516.750000
166,-33255.000000,-33255.000000
167,-33954.750000,-33954.750000
168,-32335.250000,-32335.250000
169,-35400.750000,-35400.750000
170,-33098.625000,-33098.625000
171,-34757.500000,-34757.500000
172,-33097.000000,-33097.000000
173,-34394.625000,-34394.625000
174,-34706.000000,-34706.000000
175,-35996.875000,-35996.875000
176,-34240.625000,-34240.625000
177,-34314.000000,-34314.000000
178,-32882.375000,-32882.375000
179,-34041.000000,-34041.000000
180,-33772.250000,-33772.250000
181,-32408.750000,-32408.750000
182,-34442.625000,-34442.625000
183,-35314.875000,-35314.875000
184,-34995.625000,-34995.625000
185,-34373.000000,-34373.000000
186,-34284.250000,-34284.250000
187,-33099.250000,-33099.250000
188,-33592.000000,-33592.000000
189,-32489.375000,-32489.375000
190,-36109.875000,-36109.875000
191,-32862.500000,-32862.500000
192,-32446.625000,-32446.625000
193,-36635.500000,-36635.500000
194,-32040.375000,-32040.375000
195,-32944.625000,-32944.625000
196,-35960.000000,-35960.000000
197,-36240.125000,-36240.125000
198,-35563.125000,-35563.125000
199,-35054.750000,-35054.750000
200,-33158.250000,-33158.250000
201,-32878.250000,-32878.250000
202,-34749.000000,-34749.000000
203,-33953.375000,-33953.375000
204,-33656.625000,-33656.625000
205,-34653.625000,-34653.625000
206,-36842.250000,-36842.250000
207,-33898.500000,-33898.500000
208,-34923.875000,-34923.875000
209,-33439.000000,-33439.000000
210,-33139.875000,-33139.875000
211,-32765.500000,-32765.500000
212,-34272.625000,-34272.625000
213,-33165.625000,-33165.625000
214,-34483.750000,-34483.750000
215,-33463.250000,-33463.250000
216,-34522.375000,-34522.375000
217,-34172.625000,-34172.625000
218,-33122.250000,-33122.250000
219,-34486.375000,-34486.375000
220,-33492.000000,-33492.000000
221,-31615.250000,-31615.250000
222,-33085.375000,-33085.375000
223,-33881.875000,-33881.875000
224,-33926.250000,-33926.250000
225,-35339.875000,-35339.875000
226,-33449.125000,-33449.125000
227,-32889.625000,-32889.625000
228,-35002.625000,-35002.625000
229,-33637.875000,-33637.875000
230,-32642.750000,-32642.750000
231,-32042.375000,-32042.375000
232,-33636.000000,-33636.000000
233,-32331.250000,-32331.250000
234,-33529.125000,-33529.125000
235,-34047.250000,-34047.250000
236,-36396.500000,-36396.500000
237,-35230.250000,-35230.250000
238,-35141.625000,-35141.625000
239,-31723.125000,-31723.125000
240,-32754.750000,-32754.750000
241,-34832.250000,-34832.250000
242,-35787.625000,-35787.625000
243,-35114.750000,-35114.750000
244,-31578.500000,-31578.500000
245,-35821.125000,-35821.125000
246,-32984.750000,-32984.750000
247,-33477.375000,-33477.375000
248,-35917.250000,-35917.250000
249,-32553.750000,-32553.750000
250,-32602.125000,-32602.125000
251,-33956.625000,-33956.625000
252,-32524.000000,-32524.000000
253,-34910.000000,-34910.000000
254,-36389.750000,-36389.750000
255,-32367.625000,-32367.625000
256,-31399.500000,-31399.500000
257,-34299.125000,-34299.125000
258,-34824.250000,-34824.250000
259,-32622.000000,-32622.000000
260,-33306.000000,-33306.000000
261,-33569.625000,-33569.625000
262,-35354.500000,-35354.500000
263,-33219.500000,-33219.500000
264,-33370.125000,-33370.125000
265,-33531.875000,-33531.875000
266,-33449.625000,-33449.625000
267,-34464.250000,-34464.250000
268,-32889.375000,-32889.375000
269,-34573.125000,-34573.125000
270,-30069.250000,-30069.250000
271,-35869.000000,-35869.000000
272,-34035.000000,-34035.000000
273,-33858.750000,-33858.750000
274,-31794.375000,-31794.375000
275,-33830.125000,-33830.125000
276,-33307.375000,-33307.375000
277,-34184.750000,-34184.750000
278,-33887.375000,-33887.375000
279,-34133.625000,-34133.625000
280,-32056.875000,-32056.875000
281,-31428.750000,-31428.750000
282,-33880.250000,-33880.250000
283,-36176.375000,-36176.375000
284,-35037.750000,-35037.750000
285,-35098.750000,-35098.750000
286,-33320.875000,-33320.875000
287,-33855.500000,-33855.500000
288,-35937.875000,-35937.875000
289,-33943.500000,-33943.500000
290,-33045.500000,-33045.500000
291,-32980.750000,-32980.750000
292,-33789.875000,-33789.875000
293,-33062.625000,-33062.625000
294,-34042.500000,-34042.500000
295,-33161.750000,-33161.750000
296,-33785.375000,-33785.375000
297,-33642.750000,-33642.750000
298,-33253.750000,-33253.750000
299,-36899.250000,-36899.250000
300,-34276.875000,-34276.875000
301,-33990.125000,-33990.125000
302,-33881.250000,-33881.250000
303,-32896.875000,-32896.875000
304,-36029.750000,-36029.750000
305,-34612.750000,-34612.750000
306,-33805.750000,-33805.750000
307,-31805.500000,-31805.500000
308,-34756.375000,-34756.375000
309,-31543.750000,-31543.750000
310,-33949.125000,-33949.125000
311,-31653.875000,-31653.875000
312,-34625.875000,-34625.875000
313,-33751.250000,-33751.250000
314,-35566.750000,-35566.750000
315,-32822.750000,-32822.750000
316,-34518.500000,-34518.500000
317,-32190.000000,-32190.000000
318,-30550.000000,-30550.000000
319,-31536.625000,-31536.625000
320,-32417.375000,-32417.375000
321,-33133.625000,-33133.625000
322,-31111.375000,-31111.375000
323,-36734.375000,-36734.375000
324,-35318.750000,-35318.750000
325,-34246.375000,-34246.375000
326,-32367.625000,-32367.625000
327,-32252.125000,-32252.125000
328,-33572.500000,-33572.500000
329,-33835.250000,-33835.250000
330,-33176.375000,-33176.375000
331,-34411.750000,-34411.750000
332,-34741.750000,-34741.750000
333,-35347.750000,-35347.750000
334,-33223.625000,-33223.625000
335,-31884.375000,-31884.375000
336,-33679.500000,-33679.500000
337,-33159.750000,-33159.750000
338,-33468.375000,-33468.375000
339,-30414.875000,-30414.875000
340,-33203.750000,-33203.750000
341,-35164.250000,-35164.250000
342,-30831.625000,-30831.625000
343,-35437.250000,-35437.250000
344,-34705.000000,-34705.000000
345,-39082.250000,-39082.250000
346,-33395.125000,-33395.125000
347,-33820.000000,-33820.000000
348,-31363.125000,-31363.125000
349,-31679.375000,-31679.375000
350,-33392.375000,-33392.375000
351,-34359.875000,-34359.875000
352,-33386.250000,-33386.250000
353,-35232.250000,-35232.250000
354,-32531.875000,-32531.875000
355,-33213.250000,-33213.250000
356,-32444.625000,-32444.625000
357,-32027.750000,-32027.750000
358,-31483.125000,-31483.125000
359,-33634.750000,-33634.750000
360,-35152.125000,-35152.125000
361,-35410.875000,-35410.875000
362,-32889.125000,-32889.125000
363,-33105.875000,-33105.875000
364,-33574.375000,-33574.375000
365,-33510.875000,-33510.875000
366,-34984.500000,-34984.500000
367,-33676.250000,-33676.250000
368,-32532.250000,-32532.250000
369,-31954.500000,-31954.500000
370,-30199.625000,-30199.625000
371,-31293.375000,-31293.375000
372,-32639.625000,-32639.625000
373,-34691.000000,-34691.000000
374,-31893.875000,-31893.875000
375,-31846.125000,-31846.125000
376,-32783.500000,-32783.500000
377,-35868.000000,-35868.000000
378,-34398.000000,-34398.000000
379,-33266.125000,-33266.125000
380,-32310.625000,-32310.625000
381,-33760.375000,-33760.375000
382,-31654.750000,-31654.750000
383,-33705.125000,-33705.125000
384,-35224.500000,-35224.500000
385,-31376.125000,-31376.125000
386,-33087.000000,-33087.000000
387,-30162.875000,-30162.875000
388,-33145.750000,-33145.750000
389,-31872.000000,-31872.000000
390,-33413.750000,-33413.750000
391,-34105.500000,-34105.500000
392,-32305.250000,-32305.250000
393,-31097.875000,-31097.875000
394,-31952.500000,-31952.500000
395,-32608.750000,-32608.750000
396,-33670.750000,-33670.750000
397,-36229.250000,-36229.250000
398,-31409.375000,-31409.375000
399,-32807.250000,-32807.250000
400,-33130.750000,-33130.750000
401,-32361.625000,-32361.625000
402,-33817.875000,-33817.875000
403,-31154.375000,-31154.375000
404,-32914.125000,-32914.125000
405,-33073.000000,-33073.000000
406,-32636.250000,-32636.250000
407,-31705.875000,-31705.875000
408,-32636.750000,-32636.750000
409,-35268.500000,-35268.500000
410,-34156.375000,-34156.375000
411,-31275.750000,-31275.750000
412,-32524.125000,-32524.125000
413,-33758.000000,-33758.000000
414,-32544.000000,-32544.000000
415,-33991.750000,-33991.750000
416,-36397.500000,-36397.500000
417,-32653.500000,-32653.500000
418,-32862.875000,-32862.875000
419,-33790.500000,-33790.500000
420,-34618.875000,-34618.875000
421,-34334.000000,-34334.000000
422,-31898.750000,-31898.750000
423,-33847.125000,-33847.125000
424,-35428.750000,-35428.750000
425,-31691.250000,-31691.250000
426,-34080.750000,-34080.750000
427,-34679.875000,-34679.875000
428,-31918.000000,-31918.000000
429,-32128.750000,-32128.750000
430,-35643.375000,-35643.375000
431,-32332.000000,-32332.000000
432,-35159.250000,-35159.250000
433,-32739.500000,-32739.500000
434,-33731.625000,-33731.625000
435,-33385.375000,-33385.375000
436,-34780.250000,-34780.250000
437,-32110.375000,-32110.375000
438,-33984.500000,-33984.500000
439,-33723.500000,-33723.500000
440,-31693.875000,-31693.875000
441,-34581.000000,-34581.000000
442,-34313.000000,-34313.000000
443,-34022.750000,-34022.750000
444,-31474.875000,-31474.875000
445,-31559.125000,-31559.125000
446,-31096.875000,-31096.875000
447,-35100.875000,-35100.875000
448,-34029.875000,-34029.875000
449,-32602.625000,-32602.625000
450,-33488.500000,-33488.500000
451,-33711.625000,-33711.625000
452,-33618.500000,-33618.500000
453,-34181.000000,-34181.000000
454,-33510.500000,-33510.500000
455,-34451.375000,-34451.375000
456,-32621.000000,-32621.000000
457,-34564.125000,-34564.125000
458,-32878.875000,-32878.875000
459,-32632.625000,-32632.625000
460,-32958.500000,-32958.500000
461,-31868.000000,-31868.000000
462,-33131.000000,-33131.000000
463,-31876.000000,-31876.000000
464,-33567.000000,-33567.000000
465,-31200.875000,-31200.875000
466,-33949.250000,-33949.250000
467,-31643.125000,-31643.125000
468,-33389.500000,-33389.500000
469,-31714.500000,-31714.500000
470,-33515.125000,-33515.125000
471,-33075.750000,-33075.750000
472,-31898.875000,-31898.875000
473,-32000.000000,-32000.000000
474,-31933.500000,-31933.500000
475,-32988.250000,-32988.250000
476,-30845.125000,-30845.125000
477,-31528.125000,-31528.125000
478,-33643.500000,-33643.500000
479,-34002.375000,-34002.375000
