episode,reward,r_acc,r_action
1,-2952.091309,-2901.000031,-51.091150
2,-2764.556152,-2723.222267,-41.333809
3,-2403.807373,-2343.000031,-60.807439
4,-2577.033936,-2531.777802,-45.256086
5,-2333.638184,-2288.222229,-45.416030
6,-2775.121582,-2700.333344,-74.788254
7,-2711.590332,-2660.555542,-51.034724
8,-2990.689697,-2945.444397,-45.245003
9,-3027.336182,-2975.222214,-52.113943
10,-2919.236328,-2880.555588,-38.680743
11,-3323.014160,-3282.444458,-40.569791
12,-2610.581787,-2570.000046,-40.581939
13,-2382.497559,-2336.111099,-46.386347
14,-3280.457520,-3233.555573,-46.901987
15,-2579.352783,-2509.666656,-69.686227
16,-3193.382080,-3149.111130,-44.271032
17,-2814.863770,-2760.888916,-53.974913
18,-2699.905518,-2651.777817,-48.127472
19,-2653.407715,-2599.111130,-54.296628
20,-2224.328857,-2185.888901,-38.439949
21,-2911.453369,-2853.111130,-58.342196
22,-2748.594727,-2713.333282,-35.261525
23,-2454.323242,-2391.888855,-62.434646
24,-2387.273682,-2334.111115,-53.162739
25,-2659.890137,-2597.666672,-62.223457
26,-2280.093750,-2233.222214,-46.871564
27,-2079.760742,-2013.555565,-66.205180
28,-3059.588135,-3010.555573,-49.032348
29,-3122.881592,-3069.555481,-53.326329
30,-3056.257080,-2995.000015,-61.256895
31,-2544.895752,-2476.888908,-68.006875
32,-2693.814453,-2639.222214,-54.592259
33,-2902.515625,-2836.444443,-66.071084
34,-2284.307373,-2234.111130,-50.196354
35,-2771.138672,-2729.777786,-41.360857
36,-2470.836914,-2420.999992,-49.836998
37,-2375.195557,-2323.111069,-52.084447
38,-2905.947510,-2857.222198,-48.725512
39,-2723.695801,-2674.111145,-49.584826
40,-3026.440430,-2973.555542,-52.884930
41,-2297.916016,-2250.444443,-47.471464
42,-2192.706543,-2135.444496,-57.262050
43,-2654.557861,-2612.444458,-42.113598
44,-2777.681396,-2726.444458,-51.236888
45,-2977.775635,-2925.444443,-52.331137
46,-2274.646240,-2227.333344,-47.312925
47,-2827.008545,-2786.000046,-41.008403
48,-2727.903076,-2672.444473,-55.458586
49,-2430.852295,-2376.666672,-54.185624
50,-2605.099365,-2551.999977,-53.099498
51,-2541.818115,-2482.444443,-59.373636
52,-3000.734863,-2952.333359,-48.401393
53,-2816.021484,-2765.666656,-50.354767
54,-2271.208496,-2228.777756,-42.430711
55,-2300.296143,-2241.555557,-58.740532
56,-2052.434082,-1994.555542,-57.878398
57,-2332.482666,-2283.777786,-48.704896
58,-1908.882202,-1841.111099,-67.771104
59,-2031.473999,-1984.333359,-47.140503
60,-2696.970215,-2653.999985,-42.970261
61,-2252.903076,-2202.888855,-50.014317
62,-2333.528809,-2255.444496,-78.084395
63,-2368.833008,-2316.111046,-52.721865
64,-1889.819702,-1831.555557,-58.264089
65,-1975.251709,-1925.000046,-50.251801
66,-2841.194580,-2781.666656,-59.527708
67,-2326.027100,-2268.000000,-58.027206
68,-3140.030029,-3089.999969,-50.029910
69,-2461.390381,-2405.444412,-55.945782
70,-2024.946899,-1977.666641,-47.280335
71,-2311.564209,-2263.222229,-48.341884
72,-2383.134033,-2322.888885,-60.245195
73,-2258.104004,-2206.555573,-51.548509
74,-2402.283691,-2352.777802,-49.505906
75,-2553.638184,-2498.000015,-55.638107
76,-2143.543213,-2082.444489,-61.098813
77,-2142.788330,-2086.666649,-56.121823
78,-2391.863770,-2340.444489,-51.419137
79,-2150.413086,-2099.666687,-50.746267
80,-2297.741211,-2229.777740,-67.963630
81,-1947.850830,-1896.111099,-51.739633
82,-2167.662842,-2099.888901,-67.773931
83,-2361.246582,-2286.111115,-75.135583
84,-1979.880249,-1929.888901,-49.991320
85,-2347.778809,-2293.444427,-54.334265
86,-1898.093018,-1853.222214,-44.870791
87,-2584.778076,-2531.888863,-52.889426
88,-1995.167480,-1942.222244,-52.945297
89,-2082.216553,-2035.111145,-47.105384
90,-1999.689331,-1947.888870,-51.800509
91,-2255.386475,-2215.555542,-39.830984
92,-2118.853760,-2073.000015,-45.853793
93,-2030.287964,-1984.999985,-45.288055
94,-2205.670410,-2156.777740,-48.892526
95,-2123.965088,-2059.111069,-64.853907
96,-2732.432373,-2656.777771,-75.654803
97,-2224.466064,-2161.444489,-63.021591
98,-2162.563721,-2118.111099,-44.452423
99,-2156.035156,-2099.777771,-56.257232
100,-2081.637207,-2032.777802,-48.859451
101,-1764.855835,-1705.111092,-59.744696
102,-2003.217041,-1947.444443,-55.772584
103,-2027.121094,-1971.444443,-55.676669
104,-2275.240723,-2204.111084,-71.129592
105,-2233.727295,-2181.111130,-52.616208
106,-2372.202637,-2325.222168,-46.980394
107,-2131.648926,-2065.111084,-66.537895
108,-1689.025757,-1645.888901,-43.136745
109,-1756.404785,-1698.111130,-58.293710
110,-1441.025513,-1390.666687,-50.358875
111,-1934.687622,-1873.555527,-61.132138
112,-1720.595215,-1651.888863,-68.706431
113,-1989.035400,-1942.000031,-47.035375
114,-1756.916382,-1684.222198,-72.694303
115,-1890.674072,-1835.666672,-55.007440
116,-1667.025513,-1615.555557,-51.469913
117,-1735.664795,-1688.222244,-47.442484
118,-2024.868408,-1959.000023,-65.868450
119,-1964.888184,-1903.777817,-61.110326
120,-2135.192871,-2076.888885,-58.304007
121,-1931.190308,-1882.555557,-48.634796
122,-1709.562134,-1663.555527,-46.006620
123,-1865.196167,-1821.444450,-43.751691
